Wert,Jahr,Grossregion,Ausbildung,Berufliche Stellung,Geschlecht,Zentralwert und Quartilbereich
5450,2004,"Nordwestschweiz (BS, BL, AG)","Höhere Berufsausbildung, Fachschule",Ohne Kaderfunktion,Frau,Int. 25%
7413,2004,"Nordwestschweiz (BS, BL, AG)","Höhere Berufsausbildung, Fachschule",Ohne Kaderfunktion,Frau,Int. 75%
6384,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Berufliche Stellung - Total,Geschlecht - Total,Median
4984,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Berufliche Stellung - Total,Geschlecht - Total,Int. 25%
8187,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Berufliche Stellung - Total,Geschlecht - Total,Int. 75%
6994,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Berufliche Stellung - Total,Mann,Median
5493,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Berufliche Stellung - Total,Mann,Int. 25%
8647,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Berufliche Stellung - Total,Mann,Int. 75%
6077,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Berufliche Stellung - Total,Frau,Median
4667,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Berufliche Stellung - Total,Frau,Int. 25%
7797,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Berufliche Stellung - Total,Frau,Int. 75%
7293,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Stellung 1+2,Geschlecht - Total,Median
5743,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Stellung 1+2,Geschlecht - Total,Int. 25%
10000,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Stellung 1+2,Geschlecht - Total,Int. 75%
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Stellung 1+2,Mann,Median
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Stellung 1+2,Mann,Int. 25%
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Stellung 1+2,Mann,Int. 75%
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Stellung 1+2,Frau,Median
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Stellung 1+2,Frau,Int. 25%
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Stellung 1+2,Frau,Int. 75%
6481,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Stellung 3,Geschlecht - Total,Median
5393,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Stellung 3,Geschlecht - Total,Int. 25%
8136,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Stellung 3,Geschlecht - Total,Int. 75%
7773,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Stellung 3,Mann,Median
6089,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Stellung 3,Mann,Int. 25%
8309,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Stellung 3,Mann,Int. 75%
5744,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Stellung 3,Frau,Median
5114,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Stellung 3,Frau,Int. 25%
7477,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Stellung 3,Frau,Int. 75%
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Stellung 4,Geschlecht - Total,Median
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Stellung 4,Geschlecht - Total,Int. 25%
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Stellung 4,Geschlecht - Total,Int. 75%
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Stellung 4,Mann,Median
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Stellung 4,Mann,Int. 25%
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Stellung 4,Mann,Int. 75%
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Stellung 4,Frau,Median
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Stellung 4,Frau,Int. 25%
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Stellung 4,Frau,Int. 75%
6157,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Ohne Kaderfunktion,Geschlecht - Total,Median
4619,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Ohne Kaderfunktion,Geschlecht - Total,Int. 25%
7862,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Ohne Kaderfunktion,Geschlecht - Total,Int. 75%
5748,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Ohne Kaderfunktion,Mann,Median
4984,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Ohne Kaderfunktion,Mann,Int. 25%
7862,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Ohne Kaderfunktion,Mann,Int. 75%
6219,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Ohne Kaderfunktion,Frau,Median
4550,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Ohne Kaderfunktion,Frau,Int. 25%
7862,2004,"Nordwestschweiz (BS, BL, AG)",Lehrerpatent,Ohne Kaderfunktion,Frau,Int. 75%
6561,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Berufliche Stellung - Total,Geschlecht - Total,Median
5200,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Berufliche Stellung - Total,Geschlecht - Total,Int. 25%
9037,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Berufliche Stellung - Total,Geschlecht - Total,Int. 75%
7029,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Berufliche Stellung - Total,Mann,Median
5693,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Berufliche Stellung - Total,Mann,Int. 25%
11116,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Berufliche Stellung - Total,Mann,Int. 75%
5953,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Berufliche Stellung - Total,Frau,Median
4769,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Berufliche Stellung - Total,Frau,Int. 25%
7531,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Berufliche Stellung - Total,Frau,Int. 75%
8992,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Stellung 1+2,Geschlecht - Total,Median
6242,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Stellung 1+2,Geschlecht - Total,Int. 25%
14306,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Stellung 1+2,Geschlecht - Total,Int. 75%
9920,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Stellung 1+2,Mann,Median
6904,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Stellung 1+2,Mann,Int. 25%
15607,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Stellung 1+2,Mann,Int. 75%
7313,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Stellung 1+2,Frau,Median
5714,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Stellung 1+2,Frau,Int. 25%
8980,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Stellung 1+2,Frau,Int. 75%
8263,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Stellung 3,Geschlecht - Total,Median
6040,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Stellung 3,Geschlecht - Total,Int. 25%
15234,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Stellung 3,Geschlecht - Total,Int. 75%
9952,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Stellung 3,Mann,Median
6972,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Stellung 3,Mann,Int. 25%
16948,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Stellung 3,Mann,Int. 75%
6717,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Stellung 3,Frau,Median
5417,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Stellung 3,Frau,Int. 25%
8315,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Stellung 3,Frau,Int. 75%
6976,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Stellung 4,Geschlecht - Total,Median
5801,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Stellung 4,Geschlecht - Total,Int. 25%
9131,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Stellung 4,Geschlecht - Total,Int. 75%
8333,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Stellung 4,Mann,Median
6067,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Stellung 4,Mann,Int. 25%
10482,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Stellung 4,Mann,Int. 75%
6283,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Stellung 4,Frau,Median
5541,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Stellung 4,Frau,Int. 25%
7500,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Stellung 4,Frau,Int. 75%
6118,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Ohne Kaderfunktion,Geschlecht - Total,Median
4853,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Ohne Kaderfunktion,Geschlecht - Total,Int. 25%
7671,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Ohne Kaderfunktion,Geschlecht - Total,Int. 75%
6346,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Ohne Kaderfunktion,Mann,Median
5242,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Ohne Kaderfunktion,Mann,Int. 25%
8278,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Ohne Kaderfunktion,Mann,Int. 75%
5729,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Ohne Kaderfunktion,Frau,Median
4501,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Ohne Kaderfunktion,Frau,Int. 25%
7143,2004,"Nordwestschweiz (BS, BL, AG)",Matura,Ohne Kaderfunktion,Frau,Int. 75%
5577,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Berufliche Stellung - Total,Geschlecht - Total,Median
4629,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Berufliche Stellung - Total,Geschlecht - Total,Int. 25%
6752,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Berufliche Stellung - Total,Geschlecht - Total,Int. 75%
5843,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Berufliche Stellung - Total,Mann,Median
4925,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Berufliche Stellung - Total,Mann,Int. 25%
7097,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Berufliche Stellung - Total,Mann,Int. 75%
5053,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Berufliche Stellung - Total,Frau,Median
4130,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Berufliche Stellung - Total,Frau,Int. 25%
6118,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Berufliche Stellung - Total,Frau,Int. 75%
7153,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Stellung 1+2,Geschlecht - Total,Median
5743,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Stellung 1+2,Geschlecht - Total,Int. 25%
9472,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Stellung 1+2,Geschlecht - Total,Int. 75%
7504,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Stellung 1+2,Mann,Median
5984,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Stellung 1+2,Mann,Int. 25%
10028,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Stellung 1+2,Mann,Int. 75%
6243,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Stellung 1+2,Frau,Median
4985,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Stellung 1+2,Frau,Int. 25%
7695,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Stellung 1+2,Frau,Int. 75%
6067,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Stellung 3,Geschlecht - Total,Median
5031,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Stellung 3,Geschlecht - Total,Int. 25%
7398,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Stellung 3,Geschlecht - Total,Int. 75%
6446,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Stellung 3,Mann,Median
5349,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Stellung 3,Mann,Int. 25%
7836,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Stellung 3,Mann,Int. 75%
5379,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Stellung 3,Frau,Median
4383,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Stellung 3,Frau,Int. 25%
6483,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Stellung 3,Frau,Int. 75%
5850,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Stellung 4,Geschlecht - Total,Median
4915,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Stellung 4,Geschlecht - Total,Int. 25%
7046,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Stellung 4,Geschlecht - Total,Int. 75%
6117,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Stellung 4,Mann,Median
5247,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Stellung 4,Mann,Int. 25%
7341,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Stellung 4,Mann,Int. 75%
5159,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Stellung 4,Frau,Median
4257,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Stellung 4,Frau,Int. 25%
6284,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Stellung 4,Frau,Int. 75%
5352,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Ohne Kaderfunktion,Geschlecht - Total,Median
4475,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Ohne Kaderfunktion,Geschlecht - Total,Int. 25%
6341,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Ohne Kaderfunktion,Geschlecht - Total,Int. 75%
5568,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Ohne Kaderfunktion,Mann,Median
4746,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Ohne Kaderfunktion,Mann,Int. 25%
6550,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Ohne Kaderfunktion,Mann,Int. 75%
4906,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Ohne Kaderfunktion,Frau,Median
4053,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Ohne Kaderfunktion,Frau,Int. 25%
5912,2004,"Nordwestschweiz (BS, BL, AG)",Abgeschlossene Berufsausbildung,Ohne Kaderfunktion,Frau,Int. 75%
5052,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Berufliche Stellung - Total,Geschlecht - Total,Median
4297,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Berufliche Stellung - Total,Geschlecht - Total,Int. 25%
5881,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Berufliche Stellung - Total,Geschlecht - Total,Int. 75%
5357,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Berufliche Stellung - Total,Mann,Median
4689,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Berufliche Stellung - Total,Mann,Int. 25%
6115,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Berufliche Stellung - Total,Mann,Int. 75%
4275,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Berufliche Stellung - Total,Frau,Median
3766,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Berufliche Stellung - Total,Frau,Int. 25%
4893,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Berufliche Stellung - Total,Frau,Int. 75%
7198,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Stellung 1+2,Geschlecht - Total,Median
5265,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Stellung 1+2,Geschlecht - Total,Int. 25%
10080,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Stellung 1+2,Geschlecht - Total,Int. 75%
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Stellung 1+2,Mann,Median
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Stellung 1+2,Mann,Int. 25%
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Stellung 1+2,Mann,Int. 75%
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Stellung 1+2,Frau,Median
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Stellung 1+2,Frau,Int. 25%
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Stellung 1+2,Frau,Int. 75%
5738,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Stellung 3,Geschlecht - Total,Median
4739,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Stellung 3,Geschlecht - Total,Int. 25%
7717,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Stellung 3,Geschlecht - Total,Int. 75%
6894,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Stellung 3,Mann,Median
5302,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Stellung 3,Mann,Int. 25%
8103,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Stellung 3,Mann,Int. 75%
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Stellung 3,Frau,Median
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Stellung 3,Frau,Int. 25%
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Stellung 3,Frau,Int. 75%
5611,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Stellung 4,Geschlecht - Total,Median
4226,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Stellung 4,Geschlecht - Total,Int. 25%
6089,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Stellung 4,Geschlecht - Total,Int. 75%
5714,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Stellung 4,Mann,Median
4938,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Stellung 4,Mann,Int. 25%
6170,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Stellung 4,Mann,Int. 75%
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Stellung 4,Frau,Median
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Stellung 4,Frau,Int. 25%
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Stellung 4,Frau,Int. 75%
4973,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Ohne Kaderfunktion,Geschlecht - Total,Median
4274,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Ohne Kaderfunktion,Geschlecht - Total,Int. 25%
5756,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Ohne Kaderfunktion,Geschlecht - Total,Int. 75%
5281,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Ohne Kaderfunktion,Mann,Median
4646,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Ohne Kaderfunktion,Mann,Int. 25%
6035,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Ohne Kaderfunktion,Mann,Int. 75%
4274,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Ohne Kaderfunktion,Frau,Median
3774,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Ohne Kaderfunktion,Frau,Int. 25%
4866,2004,"Nordwestschweiz (BS, BL, AG)",Unternehmensinterne Ausbildung,Ohne Kaderfunktion,Frau,Int. 75%
4333,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Berufliche Stellung - Total,Geschlecht - Total,Median
3721,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Berufliche Stellung - Total,Geschlecht - Total,Int. 25%
5064,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Berufliche Stellung - Total,Geschlecht - Total,Int. 75%
4745,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Berufliche Stellung - Total,Mann,Median
4122,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Berufliche Stellung - Total,Mann,Int. 25%
5371,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Berufliche Stellung - Total,Mann,Int. 75%
3857,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Berufliche Stellung - Total,Frau,Median
3491,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Berufliche Stellung - Total,Frau,Int. 25%
4378,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Berufliche Stellung - Total,Frau,Int. 75%
5755,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Stellung 1+2,Geschlecht - Total,Median
4446,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Stellung 1+2,Geschlecht - Total,Int. 25%
7688,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Stellung 1+2,Geschlecht - Total,Int. 75%
6076,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Stellung 1+2,Mann,Median
4696,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Stellung 1+2,Mann,Int. 25%
7714,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Stellung 1+2,Mann,Int. 75%
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Stellung 1+2,Frau,Median
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Stellung 1+2,Frau,Int. 25%
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Stellung 1+2,Frau,Int. 75%
4741,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Stellung 3,Geschlecht - Total,Median
3818,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Stellung 3,Geschlecht - Total,Int. 25%
5751,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Stellung 3,Geschlecht - Total,Int. 75%
5167,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Stellung 3,Mann,Median
4373,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Stellung 3,Mann,Int. 25%
5958,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Stellung 3,Mann,Int. 75%
4129,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Stellung 3,Frau,Median
3714,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Stellung 3,Frau,Int. 25%
4969,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Stellung 3,Frau,Int. 75%
4970,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Stellung 4,Geschlecht - Total,Median
4108,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Stellung 4,Geschlecht - Total,Int. 25%
6185,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Stellung 4,Geschlecht - Total,Int. 75%
5578,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Stellung 4,Mann,Median
4664,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Stellung 4,Mann,Int. 25%
6434,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Stellung 4,Mann,Int. 75%
4248,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Stellung 4,Frau,Median
3560,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Stellung 4,Frau,Int. 25%
5210,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Stellung 4,Frau,Int. 75%
4302,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Ohne Kaderfunktion,Geschlecht - Total,Median
3708,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Ohne Kaderfunktion,Geschlecht - Total,Int. 25%
5019,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Ohne Kaderfunktion,Geschlecht - Total,Int. 75%
4715,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Ohne Kaderfunktion,Mann,Median
4095,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Ohne Kaderfunktion,Mann,Int. 25%
5315,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Ohne Kaderfunktion,Mann,Int. 75%
3840,2004,"Nordwestschweiz (BS, BL, AG)",Ohne abgeschlossene Berufsausbildung,Ohne Kaderfunktion,Frau,Median
