Wert,Jahr,Grossregion,Tätigkeit,Anforderungsniveau des Arbeitsplatzes,Geschlecht
6508,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Planen, konstruieren, zeichnen, gestalten",Anforderungsniveau - Total,Geschlecht - Total
6711,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Planen, konstruieren, zeichnen, gestalten",Anforderungsniveau - Total,Mann
5158,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Planen, konstruieren, zeichnen, gestalten",Anforderungsniveau - Total,Frau
7076,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Planen, konstruieren, zeichnen, gestalten",Niveau 1+2,Geschlecht - Total
7160,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Planen, konstruieren, zeichnen, gestalten",Niveau 1+2,Mann
5868,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Planen, konstruieren, zeichnen, gestalten",Niveau 1+2,Frau
5750,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Planen, konstruieren, zeichnen, gestalten",Niveau 3,Geschlecht - Total
5985,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Planen, konstruieren, zeichnen, gestalten",Niveau 3,Mann
5001,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Planen, konstruieren, zeichnen, gestalten",Niveau 3,Frau
5195,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Planen, konstruieren, zeichnen, gestalten",Niveau 4,Geschlecht - Total
5307,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Planen, konstruieren, zeichnen, gestalten",Niveau 4,Mann
4388,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Planen, konstruieren, zeichnen, gestalten",Niveau 4,Frau
5162,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Transport von Personen, Waren und Nachrichten",Anforderungsniveau - Total,Geschlecht - Total
5237,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Transport von Personen, Waren und Nachrichten",Anforderungsniveau - Total,Mann
4657,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Transport von Personen, Waren und Nachrichten",Anforderungsniveau - Total,Frau
5172,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Transport von Personen, Waren und Nachrichten",Niveau 1+2,Geschlecht - Total
5213,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Transport von Personen, Waren und Nachrichten",Niveau 1+2,Mann
4683,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Transport von Personen, Waren und Nachrichten",Niveau 1+2,Frau
5420,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Transport von Personen, Waren und Nachrichten",Niveau 3,Geschlecht - Total
5469,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Transport von Personen, Waren und Nachrichten",Niveau 3,Mann
4945,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Transport von Personen, Waren und Nachrichten",Niveau 3,Frau
4964,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Transport von Personen, Waren und Nachrichten",Niveau 4,Geschlecht - Total
5066,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Transport von Personen, Waren und Nachrichten",Niveau 4,Mann
4514,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Transport von Personen, Waren und Nachrichten",Niveau 4,Frau
6300,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Sichern, bewachen",Anforderungsniveau - Total,Geschlecht - Total
6448,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Sichern, bewachen",Anforderungsniveau - Total,Mann
5238,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Sichern, bewachen",Anforderungsniveau - Total,Frau
8273,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Sichern, bewachen",Niveau 1+2,Geschlecht - Total
8333,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Sichern, bewachen",Niveau 1+2,Mann
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Sichern, bewachen",Niveau 1+2,Frau
6282,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Sichern, bewachen",Niveau 3,Geschlecht - Total
6287,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Sichern, bewachen",Niveau 3,Mann
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Sichern, bewachen",Niveau 3,Frau
4333,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Sichern, bewachen",Niveau 4,Geschlecht - Total
4333,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Sichern, bewachen",Niveau 4,Mann
4333,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Sichern, bewachen",Niveau 4,Frau
5527,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Medizinische, pflegerische und soziale Tätigkeiten",Anforderungsniveau - Total,Geschlecht - Total
6376,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Medizinische, pflegerische und soziale Tätigkeiten",Anforderungsniveau - Total,Mann
5346,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Medizinische, pflegerische und soziale Tätigkeiten",Anforderungsniveau - Total,Frau
6405,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Medizinische, pflegerische und soziale Tätigkeiten",Niveau 1+2,Geschlecht - Total
7485,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Medizinische, pflegerische und soziale Tätigkeiten",Niveau 1+2,Mann
6092,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Medizinische, pflegerische und soziale Tätigkeiten",Niveau 1+2,Frau
5440,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Medizinische, pflegerische und soziale Tätigkeiten",Niveau 3,Geschlecht - Total
6001,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Medizinische, pflegerische und soziale Tätigkeiten",Niveau 3,Mann
5350,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Medizinische, pflegerische und soziale Tätigkeiten",Niveau 3,Frau
4490,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Medizinische, pflegerische und soziale Tätigkeiten",Niveau 4,Geschlecht - Total
4655,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Medizinische, pflegerische und soziale Tätigkeiten",Niveau 4,Mann
4473,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Medizinische, pflegerische und soziale Tätigkeiten",Niveau 4,Frau
3556,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Körper- und Kleiderpflege,Anforderungsniveau - Total,Geschlecht - Total
4000,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Körper- und Kleiderpflege,Anforderungsniveau - Total,Mann
3524,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Körper- und Kleiderpflege,Anforderungsniveau - Total,Frau
3494,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Körper- und Kleiderpflege,Niveau 1+2,Geschlecht - Total
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Körper- und Kleiderpflege,Niveau 1+2,Mann
3429,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Körper- und Kleiderpflege,Niveau 1+2,Frau
3602,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Körper- und Kleiderpflege,Niveau 3,Geschlecht - Total
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Körper- und Kleiderpflege,Niveau 3,Mann
3576,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Körper- und Kleiderpflege,Niveau 3,Frau
3502,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Körper- und Kleiderpflege,Niveau 4,Geschlecht - Total
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Körper- und Kleiderpflege,Niveau 4,Mann
3502,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Körper- und Kleiderpflege,Niveau 4,Frau
3853,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Reinigung und öffentliche Hygiene,Anforderungsniveau - Total,Geschlecht - Total
4160,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Reinigung und öffentliche Hygiene,Anforderungsniveau - Total,Mann
3770,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Reinigung und öffentliche Hygiene,Anforderungsniveau - Total,Frau
4629,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Reinigung und öffentliche Hygiene,Niveau 1+2,Geschlecht - Total
4940,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Reinigung und öffentliche Hygiene,Niveau 1+2,Mann
4127,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Reinigung und öffentliche Hygiene,Niveau 1+2,Frau
4726,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Reinigung und öffentliche Hygiene,Niveau 3,Geschlecht - Total
5220,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Reinigung und öffentliche Hygiene,Niveau 3,Mann
4293,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Reinigung und öffentliche Hygiene,Niveau 3,Frau
3691,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Reinigung und öffentliche Hygiene,Niveau 4,Geschlecht - Total
3698,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Reinigung und öffentliche Hygiene,Niveau 4,Mann
3690,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Reinigung und öffentliche Hygiene,Niveau 4,Frau
6480,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Pädagogische Tätigkeiten,Anforderungsniveau - Total,Geschlecht - Total
7183,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Pädagogische Tätigkeiten,Anforderungsniveau - Total,Mann
5858,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Pädagogische Tätigkeiten,Anforderungsniveau - Total,Frau
7280,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Pädagogische Tätigkeiten,Niveau 1+2,Geschlecht - Total
7880,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Pädagogische Tätigkeiten,Niveau 1+2,Mann
6560,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Pädagogische Tätigkeiten,Niveau 1+2,Frau
5813,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Pädagogische Tätigkeiten,Niveau 3,Geschlecht - Total
6173,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Pädagogische Tätigkeiten,Niveau 3,Mann
5464,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Pädagogische Tätigkeiten,Niveau 3,Frau
3694,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Pädagogische Tätigkeiten,Niveau 4,Geschlecht - Total
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Pädagogische Tätigkeiten,Niveau 4,Mann
3692,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Pädagogische Tätigkeiten,Niveau 4,Frau
3910,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Gastgewerbliche und hauswirtschaftliche Tätigkeiten,Anforderungsniveau - Total,Geschlecht - Total
4072,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Gastgewerbliche und hauswirtschaftliche Tätigkeiten,Anforderungsniveau - Total,Mann
3827,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Gastgewerbliche und hauswirtschaftliche Tätigkeiten,Anforderungsniveau - Total,Frau
4544,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Gastgewerbliche und hauswirtschaftliche Tätigkeiten,Niveau 1+2,Geschlecht - Total
4960,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Gastgewerbliche und hauswirtschaftliche Tätigkeiten,Niveau 1+2,Mann
4133,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Gastgewerbliche und hauswirtschaftliche Tätigkeiten,Niveau 1+2,Frau
4024,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Gastgewerbliche und hauswirtschaftliche Tätigkeiten,Niveau 3,Geschlecht - Total
4167,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Gastgewerbliche und hauswirtschaftliche Tätigkeiten,Niveau 3,Mann
3924,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Gastgewerbliche und hauswirtschaftliche Tätigkeiten,Niveau 3,Frau
3663,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Gastgewerbliche und hauswirtschaftliche Tätigkeiten,Niveau 4,Geschlecht - Total
3637,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Gastgewerbliche und hauswirtschaftliche Tätigkeiten,Niveau 4,Mann
3665,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",Gastgewerbliche und hauswirtschaftliche Tätigkeiten,Niveau 4,Frau
5874,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Kultur, Information, Unterhaltung, Sport und Freizeit",Anforderungsniveau - Total,Geschlecht - Total
6372,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Kultur, Information, Unterhaltung, Sport und Freizeit",Anforderungsniveau - Total,Mann
5073,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Kultur, Information, Unterhaltung, Sport und Freizeit",Anforderungsniveau - Total,Frau
7015,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Kultur, Information, Unterhaltung, Sport und Freizeit",Niveau 1+2,Geschlecht - Total
7717,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Kultur, Information, Unterhaltung, Sport und Freizeit",Niveau 1+2,Mann
6088,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Kultur, Information, Unterhaltung, Sport und Freizeit",Niveau 1+2,Frau
5404,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Kultur, Information, Unterhaltung, Sport und Freizeit",Niveau 3,Geschlecht - Total
5914,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Kultur, Information, Unterhaltung, Sport und Freizeit",Niveau 3,Mann
4922,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Kultur, Information, Unterhaltung, Sport und Freizeit",Niveau 3,Frau
4508,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Kultur, Information, Unterhaltung, Sport und Freizeit",Niveau 4,Geschlecht - Total
4506,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Kultur, Information, Unterhaltung, Sport und Freizeit",Niveau 4,Mann
4583,2004,"Espace Mittelland (BE, FR, SO, NE, JU)","Kultur, Information, Unterhaltung, Sport und Freizeit",Niveau 4,Frau
5723,2004,"Nordwestschweiz (BS, BL, AG)",Tätigkeit - Total,Anforderungsniveau - Total,Geschlecht - Total
6130,2004,"Nordwestschweiz (BS, BL, AG)",Tätigkeit - Total,Anforderungsniveau - Total,Mann
4924,2004,"Nordwestschweiz (BS, BL, AG)",Tätigkeit - Total,Anforderungsniveau - Total,Frau
7395,2004,"Nordwestschweiz (BS, BL, AG)",Tätigkeit - Total,Niveau 1+2,Geschlecht - Total
7809,2004,"Nordwestschweiz (BS, BL, AG)",Tätigkeit - Total,Niveau 1+2,Mann
6306,2004,"Nordwestschweiz (BS, BL, AG)",Tätigkeit - Total,Niveau 1+2,Frau
5504,2004,"Nordwestschweiz (BS, BL, AG)",Tätigkeit - Total,Niveau 3,Geschlecht - Total
5732,2004,"Nordwestschweiz (BS, BL, AG)",Tätigkeit - Total,Niveau 3,Mann
5041,2004,"Nordwestschweiz (BS, BL, AG)",Tätigkeit - Total,Niveau 3,Frau
4337,2004,"Nordwestschweiz (BS, BL, AG)",Tätigkeit - Total,Niveau 4,Geschlecht - Total
4729,2004,"Nordwestschweiz (BS, BL, AG)",Tätigkeit - Total,Niveau 4,Mann
3930,2004,"Nordwestschweiz (BS, BL, AG)",Tätigkeit - Total,Niveau 4,Frau
5399,2004,"Nordwestschweiz (BS, BL, AG)",PRODUKTIONSNAHE TAETIGKEITEN,Anforderungsniveau - Total,Geschlecht - Total
5543,2004,"Nordwestschweiz (BS, BL, AG)",PRODUKTIONSNAHE TAETIGKEITEN,Anforderungsniveau - Total,Mann
4080,2004,"Nordwestschweiz (BS, BL, AG)",PRODUKTIONSNAHE TAETIGKEITEN,Anforderungsniveau - Total,Frau
6197,2004,"Nordwestschweiz (BS, BL, AG)",PRODUKTIONSNAHE TAETIGKEITEN,Niveau 1+2,Geschlecht - Total
6242,2004,"Nordwestschweiz (BS, BL, AG)",PRODUKTIONSNAHE TAETIGKEITEN,Niveau 1+2,Mann
5064,2004,"Nordwestschweiz (BS, BL, AG)",PRODUKTIONSNAHE TAETIGKEITEN,Niveau 1+2,Frau
5493,2004,"Nordwestschweiz (BS, BL, AG)",PRODUKTIONSNAHE TAETIGKEITEN,Niveau 3,Geschlecht - Total
5558,2004,"Nordwestschweiz (BS, BL, AG)",PRODUKTIONSNAHE TAETIGKEITEN,Niveau 3,Mann
4544,2004,"Nordwestschweiz (BS, BL, AG)",PRODUKTIONSNAHE TAETIGKEITEN,Niveau 3,Frau
4543,2004,"Nordwestschweiz (BS, BL, AG)",PRODUKTIONSNAHE TAETIGKEITEN,Niveau 4,Geschlecht - Total
4830,2004,"Nordwestschweiz (BS, BL, AG)",PRODUKTIONSNAHE TAETIGKEITEN,Niveau 4,Mann
3836,2004,"Nordwestschweiz (BS, BL, AG)",PRODUKTIONSNAHE TAETIGKEITEN,Niveau 4,Frau
5127,2004,"Nordwestschweiz (BS, BL, AG)",Herstellen und bearbeiten von Produkten,Anforderungsniveau - Total,Geschlecht - Total
5417,2004,"Nordwestschweiz (BS, BL, AG)",Herstellen und bearbeiten von Produkten,Anforderungsniveau - Total,Mann
4024,2004,"Nordwestschweiz (BS, BL, AG)",Herstellen und bearbeiten von Produkten,Anforderungsniveau - Total,Frau
6247,2004,"Nordwestschweiz (BS, BL, AG)",Herstellen und bearbeiten von Produkten,Niveau 1+2,Geschlecht - Total
6368,2004,"Nordwestschweiz (BS, BL, AG)",Herstellen und bearbeiten von Produkten,Niveau 1+2,Mann
4894,2004,"Nordwestschweiz (BS, BL, AG)",Herstellen und bearbeiten von Produkten,Niveau 1+2,Frau
5377,2004,"Nordwestschweiz (BS, BL, AG)",Herstellen und bearbeiten von Produkten,Niveau 3,Geschlecht - Total
5522,2004,"Nordwestschweiz (BS, BL, AG)",Herstellen und bearbeiten von Produkten,Niveau 3,Mann
4485,2004,"Nordwestschweiz (BS, BL, AG)",Herstellen und bearbeiten von Produkten,Niveau 3,Frau
4339,2004,"Nordwestschweiz (BS, BL, AG)",Herstellen und bearbeiten von Produkten,Niveau 4,Geschlecht - Total
4764,2004,"Nordwestschweiz (BS, BL, AG)",Herstellen und bearbeiten von Produkten,Niveau 4,Mann
3818,2004,"Nordwestschweiz (BS, BL, AG)",Herstellen und bearbeiten von Produkten,Niveau 4,Frau
5434,2004,"Nordwestschweiz (BS, BL, AG)",Tätigkeiten im Baugewerbe,Anforderungsniveau - Total,Geschlecht - Total
5447,2004,"Nordwestschweiz (BS, BL, AG)",Tätigkeiten im Baugewerbe,Anforderungsniveau - Total,Mann
4746,2004,"Nordwestschweiz (BS, BL, AG)",Tätigkeiten im Baugewerbe,Anforderungsniveau - Total,Frau
6118,2004,"Nordwestschweiz (BS, BL, AG)",Tätigkeiten im Baugewerbe,Niveau 1+2,Geschlecht - Total
6120,2004,"Nordwestschweiz (BS, BL, AG)",Tätigkeiten im Baugewerbe,Niveau 1+2,Mann
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Tätigkeiten im Baugewerbe,Niveau 1+2,Frau
5393,2004,"Nordwestschweiz (BS, BL, AG)",Tätigkeiten im Baugewerbe,Niveau 3,Geschlecht - Total
5403,2004,"Nordwestschweiz (BS, BL, AG)",Tätigkeiten im Baugewerbe,Niveau 3,Mann
4573,2004,"Nordwestschweiz (BS, BL, AG)",Tätigkeiten im Baugewerbe,Niveau 3,Frau
4832,2004,"Nordwestschweiz (BS, BL, AG)",Tätigkeiten im Baugewerbe,Niveau 4,Geschlecht - Total
4833,2004,"Nordwestschweiz (BS, BL, AG)",Tätigkeiten im Baugewerbe,Niveau 4,Mann
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Tätigkeiten im Baugewerbe,Niveau 4,Frau
5870,2004,"Nordwestschweiz (BS, BL, AG)","Maschinen einrichten, bedienen, unterhalten",Anforderungsniveau - Total,Geschlecht - Total
5930,2004,"Nordwestschweiz (BS, BL, AG)","Maschinen einrichten, bedienen, unterhalten",Anforderungsniveau - Total,Mann
4410,2004,"Nordwestschweiz (BS, BL, AG)","Maschinen einrichten, bedienen, unterhalten",Anforderungsniveau - Total,Frau
6252,2004,"Nordwestschweiz (BS, BL, AG)","Maschinen einrichten, bedienen, unterhalten",Niveau 1+2,Geschlecht - Total
6271,2004,"Nordwestschweiz (BS, BL, AG)","Maschinen einrichten, bedienen, unterhalten",Niveau 1+2,Mann
5072,2004,"Nordwestschweiz (BS, BL, AG)","Maschinen einrichten, bedienen, unterhalten",Niveau 1+2,Frau
5897,2004,"Nordwestschweiz (BS, BL, AG)","Maschinen einrichten, bedienen, unterhalten",Niveau 3,Geschlecht - Total
5923,2004,"Nordwestschweiz (BS, BL, AG)","Maschinen einrichten, bedienen, unterhalten",Niveau 3,Mann
4811,2004,"Nordwestschweiz (BS, BL, AG)","Maschinen einrichten, bedienen, unterhalten",Niveau 3,Frau
4940,2004,"Nordwestschweiz (BS, BL, AG)","Maschinen einrichten, bedienen, unterhalten",Niveau 4,Geschlecht - Total
5170,2004,"Nordwestschweiz (BS, BL, AG)","Maschinen einrichten, bedienen, unterhalten",Niveau 4,Mann
3984,2004,"Nordwestschweiz (BS, BL, AG)","Maschinen einrichten, bedienen, unterhalten",Niveau 4,Frau
4533,2004,"Nordwestschweiz (BS, BL, AG)","Restaurieren, Kunsthandwerk",Anforderungsniveau - Total,Geschlecht - Total
"""......""",2004,"Nordwestschweiz (BS, BL, AG)","Restaurieren, Kunsthandwerk",Anforderungsniveau - Total,Mann
"""......""",2004,"Nordwestschweiz (BS, BL, AG)","Restaurieren, Kunsthandwerk",Anforderungsniveau - Total,Frau
"""......""",2004,"Nordwestschweiz (BS, BL, AG)","Restaurieren, Kunsthandwerk",Niveau 1+2,Geschlecht - Total
"""......""",2004,"Nordwestschweiz (BS, BL, AG)","Restaurieren, Kunsthandwerk",Niveau 1+2,Mann
"""......""",2004,"Nordwestschweiz (BS, BL, AG)","Restaurieren, Kunsthandwerk",Niveau 1+2,Frau
"""......""",2004,"Nordwestschweiz (BS, BL, AG)","Restaurieren, Kunsthandwerk",Niveau 3,Geschlecht - Total
"""......""",2004,"Nordwestschweiz (BS, BL, AG)","Restaurieren, Kunsthandwerk",Niveau 3,Mann
"""......""",2004,"Nordwestschweiz (BS, BL, AG)","Restaurieren, Kunsthandwerk",Niveau 3,Frau
"""......""",2004,"Nordwestschweiz (BS, BL, AG)","Restaurieren, Kunsthandwerk",Niveau 4,Geschlecht - Total
"""......""",2004,"Nordwestschweiz (BS, BL, AG)","Restaurieren, Kunsthandwerk",Niveau 4,Mann
"""......""",2004,"Nordwestschweiz (BS, BL, AG)","Restaurieren, Kunsthandwerk",Niveau 4,Frau
6004,2004,"Nordwestschweiz (BS, BL, AG)",DIENSTLEISTUNGEN,Anforderungsniveau - Total,Geschlecht - Total
6933,2004,"Nordwestschweiz (BS, BL, AG)",DIENSTLEISTUNGEN,Anforderungsniveau - Total,Mann
5089,2004,"Nordwestschweiz (BS, BL, AG)",DIENSTLEISTUNGEN,Anforderungsniveau - Total,Frau
7830,2004,"Nordwestschweiz (BS, BL, AG)",DIENSTLEISTUNGEN,Niveau 1+2,Geschlecht - Total
8489,2004,"Nordwestschweiz (BS, BL, AG)",DIENSTLEISTUNGEN,Niveau 1+2,Mann
6345,2004,"Nordwestschweiz (BS, BL, AG)",DIENSTLEISTUNGEN,Niveau 1+2,Frau
5506,2004,"Nordwestschweiz (BS, BL, AG)",DIENSTLEISTUNGEN,Niveau 3,Geschlecht - Total
6019,2004,"Nordwestschweiz (BS, BL, AG)",DIENSTLEISTUNGEN,Niveau 3,Mann
5096,2004,"Nordwestschweiz (BS, BL, AG)",DIENSTLEISTUNGEN,Niveau 3,Frau
4225,2004,"Nordwestschweiz (BS, BL, AG)",DIENSTLEISTUNGEN,Niveau 4,Geschlecht - Total
4569,2004,"Nordwestschweiz (BS, BL, AG)",DIENSTLEISTUNGEN,Niveau 4,Mann
3987,2004,"Nordwestschweiz (BS, BL, AG)",DIENSTLEISTUNGEN,Niveau 4,Frau
10703,2004,"Nordwestschweiz (BS, BL, AG)",Ziel- und Strategiedefinition von Unternehmen,Anforderungsniveau - Total,Geschlecht - Total
10931,2004,"Nordwestschweiz (BS, BL, AG)",Ziel- und Strategiedefinition von Unternehmen,Anforderungsniveau - Total,Mann
8619,2004,"Nordwestschweiz (BS, BL, AG)",Ziel- und Strategiedefinition von Unternehmen,Anforderungsniveau - Total,Frau
10916,2004,"Nordwestschweiz (BS, BL, AG)",Ziel- und Strategiedefinition von Unternehmen,Niveau 1+2,Geschlecht - Total
11112,2004,"Nordwestschweiz (BS, BL, AG)",Ziel- und Strategiedefinition von Unternehmen,Niveau 1+2,Mann
9004,2004,"Nordwestschweiz (BS, BL, AG)",Ziel- und Strategiedefinition von Unternehmen,Niveau 1+2,Frau
6650,2004,"Nordwestschweiz (BS, BL, AG)",Ziel- und Strategiedefinition von Unternehmen,Niveau 3,Geschlecht - Total
6912,2004,"Nordwestschweiz (BS, BL, AG)",Ziel- und Strategiedefinition von Unternehmen,Niveau 3,Mann
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Ziel- und Strategiedefinition von Unternehmen,Niveau 3,Frau
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Ziel- und Strategiedefinition von Unternehmen,Niveau 4,Geschlecht - Total
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Ziel- und Strategiedefinition von Unternehmen,Niveau 4,Mann
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Ziel- und Strategiedefinition von Unternehmen,Niveau 4,Frau
6825,2004,"Nordwestschweiz (BS, BL, AG)",Rechnungs- und Personalwesen,Anforderungsniveau - Total,Geschlecht - Total
8290,2004,"Nordwestschweiz (BS, BL, AG)",Rechnungs- und Personalwesen,Anforderungsniveau - Total,Mann
6236,2004,"Nordwestschweiz (BS, BL, AG)",Rechnungs- und Personalwesen,Anforderungsniveau - Total,Frau
7673,2004,"Nordwestschweiz (BS, BL, AG)",Rechnungs- und Personalwesen,Niveau 1+2,Geschlecht - Total
8976,2004,"Nordwestschweiz (BS, BL, AG)",Rechnungs- und Personalwesen,Niveau 1+2,Mann
6815,2004,"Nordwestschweiz (BS, BL, AG)",Rechnungs- und Personalwesen,Niveau 1+2,Frau
5958,2004,"Nordwestschweiz (BS, BL, AG)",Rechnungs- und Personalwesen,Niveau 3,Geschlecht - Total
6891,2004,"Nordwestschweiz (BS, BL, AG)",Rechnungs- und Personalwesen,Niveau 3,Mann
5726,2004,"Nordwestschweiz (BS, BL, AG)",Rechnungs- und Personalwesen,Niveau 3,Frau
5308,2004,"Nordwestschweiz (BS, BL, AG)",Rechnungs- und Personalwesen,Niveau 4,Geschlecht - Total
"""......""",2004,"Nordwestschweiz (BS, BL, AG)",Rechnungs- und Personalwesen,Niveau 4,Mann
5308,2004,"Nordwestschweiz (BS, BL, AG)",Rechnungs- und Personalwesen,Niveau 4,Frau
5720,2004,"Nordwestschweiz (BS, BL, AG)",Sekretariats- und Kanzleiarbeiten,Anforderungsniveau - Total,Geschlecht - Total
6148,2004,"Nordwestschweiz (BS, BL, AG)",Sekretariats- und Kanzleiarbeiten,Anforderungsniveau - Total,Mann
5659,2004,"Nordwestschweiz (BS, BL, AG)",Sekretariats- und Kanzleiarbeiten,Anforderungsniveau - Total,Frau
6024,2004,"Nordwestschweiz (BS, BL, AG)",Sekretariats- und Kanzleiarbeiten,Niveau 1+2,Geschlecht - Total
