Wert,Jahr,Grossregion,Staatsangehörigkeit / Anwesenheitsbewilligung,Anforderungsniveau des Arbeitsplatzes,Geschlecht,Zentralwert und Quartilbereich
3531,2002,Tessin (TI),KurzaufenthalterInnen (Kat. L),Niveau 3,Mann,Int. 25%
5339,2002,Tessin (TI),KurzaufenthalterInnen (Kat. L),Niveau 3,Mann,Int. 75%
3378,2002,Tessin (TI),KurzaufenthalterInnen (Kat. L),Niveau 3,Frau,Median
3271,2002,Tessin (TI),KurzaufenthalterInnen (Kat. L),Niveau 3,Frau,Int. 25%
4013,2002,Tessin (TI),KurzaufenthalterInnen (Kat. L),Niveau 3,Frau,Int. 75%
3058,2002,Tessin (TI),KurzaufenthalterInnen (Kat. L),Niveau 4,Geschlecht - Total,Median
2857,2002,Tessin (TI),KurzaufenthalterInnen (Kat. L),Niveau 4,Geschlecht - Total,Int. 25%
3875,2002,Tessin (TI),KurzaufenthalterInnen (Kat. L),Niveau 4,Geschlecht - Total,Int. 75%
3256,2002,Tessin (TI),KurzaufenthalterInnen (Kat. L),Niveau 4,Mann,Median
2888,2002,Tessin (TI),KurzaufenthalterInnen (Kat. L),Niveau 4,Mann,Int. 25%
4548,2002,Tessin (TI),KurzaufenthalterInnen (Kat. L),Niveau 4,Mann,Int. 75%
2985,2002,Tessin (TI),KurzaufenthalterInnen (Kat. L),Niveau 4,Frau,Median
2747,2002,Tessin (TI),KurzaufenthalterInnen (Kat. L),Niveau 4,Frau,Int. 25%
3302,2002,Tessin (TI),KurzaufenthalterInnen (Kat. L),Niveau 4,Frau,Int. 75%
4063,2002,Tessin (TI),AufenthalterInnen (Kat. B),Anforderungsniveau - Total,Geschlecht - Total,Median
3171,2002,Tessin (TI),AufenthalterInnen (Kat. B),Anforderungsniveau - Total,Geschlecht - Total,Int. 25%
5617,2002,Tessin (TI),AufenthalterInnen (Kat. B),Anforderungsniveau - Total,Geschlecht - Total,Int. 75%
4608,2002,Tessin (TI),AufenthalterInnen (Kat. B),Anforderungsniveau - Total,Mann,Median
3770,2002,Tessin (TI),AufenthalterInnen (Kat. B),Anforderungsniveau - Total,Mann,Int. 25%
6698,2002,Tessin (TI),AufenthalterInnen (Kat. B),Anforderungsniveau - Total,Mann,Int. 75%
3327,2002,Tessin (TI),AufenthalterInnen (Kat. B),Anforderungsniveau - Total,Frau,Median
2937,2002,Tessin (TI),AufenthalterInnen (Kat. B),Anforderungsniveau - Total,Frau,Int. 25%
4498,2002,Tessin (TI),AufenthalterInnen (Kat. B),Anforderungsniveau - Total,Frau,Int. 75%
7412,2002,Tessin (TI),AufenthalterInnen (Kat. B),Niveau 1+2,Geschlecht - Total,Median
4779,2002,Tessin (TI),AufenthalterInnen (Kat. B),Niveau 1+2,Geschlecht - Total,Int. 25%
10460,2002,Tessin (TI),AufenthalterInnen (Kat. B),Niveau 1+2,Geschlecht - Total,Int. 75%
7893,2002,Tessin (TI),AufenthalterInnen (Kat. B),Niveau 1+2,Mann,Median
5365,2002,Tessin (TI),AufenthalterInnen (Kat. B),Niveau 1+2,Mann,Int. 25%
12085,2002,Tessin (TI),AufenthalterInnen (Kat. B),Niveau 1+2,Mann,Int. 75%
6067,2002,Tessin (TI),AufenthalterInnen (Kat. B),Niveau 1+2,Frau,Median
4486,2002,Tessin (TI),AufenthalterInnen (Kat. B),Niveau 1+2,Frau,Int. 25%
8333,2002,Tessin (TI),AufenthalterInnen (Kat. B),Niveau 1+2,Frau,Int. 75%
4662,2002,Tessin (TI),AufenthalterInnen (Kat. B),Niveau 3,Geschlecht - Total,Median
3844,2002,Tessin (TI),AufenthalterInnen (Kat. B),Niveau 3,Geschlecht - Total,Int. 25%
5874,2002,Tessin (TI),AufenthalterInnen (Kat. B),Niveau 3,Geschlecht - Total,Int. 75%
4676,2002,Tessin (TI),AufenthalterInnen (Kat. B),Niveau 3,Mann,Median
4043,2002,Tessin (TI),AufenthalterInnen (Kat. B),Niveau 3,Mann,Int. 25%
5874,2002,Tessin (TI),AufenthalterInnen (Kat. B),Niveau 3,Mann,Int. 75%
4448,2002,Tessin (TI),AufenthalterInnen (Kat. B),Niveau 3,Frau,Median
3429,2002,Tessin (TI),AufenthalterInnen (Kat. B),Niveau 3,Frau,Int. 25%
5877,2002,Tessin (TI),AufenthalterInnen (Kat. B),Niveau 3,Frau,Int. 75%
3213,2002,Tessin (TI),AufenthalterInnen (Kat. B),Niveau 4,Geschlecht - Total,Median
2921,2002,Tessin (TI),AufenthalterInnen (Kat. B),Niveau 4,Geschlecht - Total,Int. 25%
3875,2002,Tessin (TI),AufenthalterInnen (Kat. B),Niveau 4,Geschlecht - Total,Int. 75%
3752,2002,Tessin (TI),AufenthalterInnen (Kat. B),Niveau 4,Mann,Median
3104,2002,Tessin (TI),AufenthalterInnen (Kat. B),Niveau 4,Mann,Int. 25%
4467,2002,Tessin (TI),AufenthalterInnen (Kat. B),Niveau 4,Mann,Int. 75%
3000,2002,Tessin (TI),AufenthalterInnen (Kat. B),Niveau 4,Frau,Median
2857,2002,Tessin (TI),AufenthalterInnen (Kat. B),Niveau 4,Frau,Int. 25%
3327,2002,Tessin (TI),AufenthalterInnen (Kat. B),Niveau 4,Frau,Int. 75%
4500,2002,Tessin (TI),Niedergelassene (Kat. C),Anforderungsniveau - Total,Geschlecht - Total,Median
3652,2002,Tessin (TI),Niedergelassene (Kat. C),Anforderungsniveau - Total,Geschlecht - Total,Int. 25%
5339,2002,Tessin (TI),Niedergelassene (Kat. C),Anforderungsniveau - Total,Geschlecht - Total,Int. 75%
4797,2002,Tessin (TI),Niedergelassene (Kat. C),Anforderungsniveau - Total,Mann,Median
4093,2002,Tessin (TI),Niedergelassene (Kat. C),Anforderungsniveau - Total,Mann,Int. 25%
5477,2002,Tessin (TI),Niedergelassene (Kat. C),Anforderungsniveau - Total,Mann,Int. 75%
3618,2002,Tessin (TI),Niedergelassene (Kat. C),Anforderungsniveau - Total,Frau,Median
3095,2002,Tessin (TI),Niedergelassene (Kat. C),Anforderungsniveau - Total,Frau,Int. 25%
4525,2002,Tessin (TI),Niedergelassene (Kat. C),Anforderungsniveau - Total,Frau,Int. 75%
5473,2002,Tessin (TI),Niedergelassene (Kat. C),Niveau 1+2,Geschlecht - Total,Median
4718,2002,Tessin (TI),Niedergelassene (Kat. C),Niveau 1+2,Geschlecht - Total,Int. 25%
7200,2002,Tessin (TI),Niedergelassene (Kat. C),Niveau 1+2,Geschlecht - Total,Int. 75%
5551,2002,Tessin (TI),Niedergelassene (Kat. C),Niveau 1+2,Mann,Median
4809,2002,Tessin (TI),Niedergelassene (Kat. C),Niveau 1+2,Mann,Int. 25%
7377,2002,Tessin (TI),Niedergelassene (Kat. C),Niveau 1+2,Mann,Int. 75%
5159,2002,Tessin (TI),Niedergelassene (Kat. C),Niveau 1+2,Frau,Median
4000,2002,Tessin (TI),Niedergelassene (Kat. C),Niveau 1+2,Frau,Int. 25%
6902,2002,Tessin (TI),Niedergelassene (Kat. C),Niveau 1+2,Frau,Int. 75%
4710,2002,Tessin (TI),Niedergelassene (Kat. C),Niveau 3,Geschlecht - Total,Median
4026,2002,Tessin (TI),Niedergelassene (Kat. C),Niveau 3,Geschlecht - Total,Int. 25%
5416,2002,Tessin (TI),Niedergelassene (Kat. C),Niveau 3,Geschlecht - Total,Int. 75%
4831,2002,Tessin (TI),Niedergelassene (Kat. C),Niveau 3,Mann,Median
4220,2002,Tessin (TI),Niedergelassene (Kat. C),Niveau 3,Mann,Int. 25%
5417,2002,Tessin (TI),Niedergelassene (Kat. C),Niveau 3,Mann,Int. 75%
4145,2002,Tessin (TI),Niedergelassene (Kat. C),Niveau 3,Frau,Median
3447,2002,Tessin (TI),Niedergelassene (Kat. C),Niveau 3,Frau,Int. 25%
5291,2002,Tessin (TI),Niedergelassene (Kat. C),Niveau 3,Frau,Int. 75%
3875,2002,Tessin (TI),Niedergelassene (Kat. C),Niveau 4,Geschlecht - Total,Median
3241,2002,Tessin (TI),Niedergelassene (Kat. C),Niveau 4,Geschlecht - Total,Int. 25%
4619,2002,Tessin (TI),Niedergelassene (Kat. C),Niveau 4,Geschlecht - Total,Int. 75%
4338,2002,Tessin (TI),Niedergelassene (Kat. C),Niveau 4,Mann,Median
3678,2002,Tessin (TI),Niedergelassene (Kat. C),Niveau 4,Mann,Int. 25%
4923,2002,Tessin (TI),Niedergelassene (Kat. C),Niveau 4,Mann,Int. 75%
3330,2002,Tessin (TI),Niedergelassene (Kat. C),Niveau 4,Frau,Median
2940,2002,Tessin (TI),Niedergelassene (Kat. C),Niveau 4,Frau,Int. 25%
3879,2002,Tessin (TI),Niedergelassene (Kat. C),Niveau 4,Frau,Int. 75%
4135,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Anforderungsniveau - Total,Geschlecht - Total,Median
3274,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Anforderungsniveau - Total,Geschlecht - Total,Int. 25%
5063,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Anforderungsniveau - Total,Geschlecht - Total,Int. 75%
4551,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Anforderungsniveau - Total,Mann,Median
3840,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Anforderungsniveau - Total,Mann,Int. 25%
5292,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Anforderungsniveau - Total,Mann,Int. 75%
3082,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Anforderungsniveau - Total,Frau,Median
2506,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Anforderungsniveau - Total,Frau,Int. 25%
3884,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Anforderungsniveau - Total,Frau,Int. 75%
5172,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Niveau 1+2,Geschlecht - Total,Median
4495,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Niveau 1+2,Geschlecht - Total,Int. 25%
6582,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Niveau 1+2,Geschlecht - Total,Int. 75%
5172,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Niveau 1+2,Mann,Median
4609,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Niveau 1+2,Mann,Int. 25%
6545,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Niveau 1+2,Mann,Int. 75%
5200,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Niveau 1+2,Frau,Median
3878,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Niveau 1+2,Frau,Int. 25%
6731,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Niveau 1+2,Frau,Int. 75%
4503,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Niveau 3,Geschlecht - Total,Median
3738,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Niveau 3,Geschlecht - Total,Int. 25%
5301,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Niveau 3,Geschlecht - Total,Int. 75%
4656,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Niveau 3,Mann,Median
4046,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Niveau 3,Mann,Int. 25%
5367,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Niveau 3,Mann,Int. 75%
3326,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Niveau 3,Frau,Median
2507,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Niveau 3,Frau,Int. 25%
4756,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Niveau 3,Frau,Int. 75%
3443,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Niveau 4,Geschlecht - Total,Median
2854,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Niveau 4,Geschlecht - Total,Int. 25%
4227,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Niveau 4,Geschlecht - Total,Int. 75%
3973,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Niveau 4,Mann,Median
3384,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Niveau 4,Mann,Int. 25%
4690,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Niveau 4,Mann,Int. 75%
2913,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Niveau 4,Frau,Median
2444,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Niveau 4,Frau,Int. 25%
3467,2002,Tessin (TI),GrenzgängerInnen (Kat. G),Niveau 4,Frau,Int. 75%
4200,2002,Tessin (TI),Andere,Anforderungsniveau - Total,Geschlecht - Total,Median
3183,2002,Tessin (TI),Andere,Anforderungsniveau - Total,Geschlecht - Total,Int. 25%
5592,2002,Tessin (TI),Andere,Anforderungsniveau - Total,Geschlecht - Total,Int. 75%
4307,2002,Tessin (TI),Andere,Anforderungsniveau - Total,Mann,Median
3183,2002,Tessin (TI),Andere,Anforderungsniveau - Total,Mann,Int. 25%
5883,2002,Tessin (TI),Andere,Anforderungsniveau - Total,Mann,Int. 75%
"""......""",2002,Tessin (TI),Andere,Anforderungsniveau - Total,Frau,Median
"""......""",2002,Tessin (TI),Andere,Anforderungsniveau - Total,Frau,Int. 25%
"""......""",2002,Tessin (TI),Andere,Anforderungsniveau - Total,Frau,Int. 75%
"""......""",2002,Tessin (TI),Andere,Niveau 1+2,Geschlecht - Total,Median
"""......""",2002,Tessin (TI),Andere,Niveau 1+2,Geschlecht - Total,Int. 25%
"""......""",2002,Tessin (TI),Andere,Niveau 1+2,Geschlecht - Total,Int. 75%
"""......""",2002,Tessin (TI),Andere,Niveau 1+2,Mann,Median
"""......""",2002,Tessin (TI),Andere,Niveau 1+2,Mann,Int. 25%
"""......""",2002,Tessin (TI),Andere,Niveau 1+2,Mann,Int. 75%
"""......""",2002,Tessin (TI),Andere,Niveau 1+2,Frau,Median
"""......""",2002,Tessin (TI),Andere,Niveau 1+2,Frau,Int. 25%
"""......""",2002,Tessin (TI),Andere,Niveau 1+2,Frau,Int. 75%
"""......""",2002,Tessin (TI),Andere,Niveau 3,Geschlecht - Total,Median
"""......""",2002,Tessin (TI),Andere,Niveau 3,Geschlecht - Total,Int. 25%
"""......""",2002,Tessin (TI),Andere,Niveau 3,Geschlecht - Total,Int. 75%
"""......""",2002,Tessin (TI),Andere,Niveau 3,Mann,Median
"""......""",2002,Tessin (TI),Andere,Niveau 3,Mann,Int. 25%
"""......""",2002,Tessin (TI),Andere,Niveau 3,Mann,Int. 75%
"""......""",2002,Tessin (TI),Andere,Niveau 3,Frau,Median
"""......""",2002,Tessin (TI),Andere,Niveau 3,Frau,Int. 25%
"""......""",2002,Tessin (TI),Andere,Niveau 3,Frau,Int. 75%
3183,2002,Tessin (TI),Andere,Niveau 4,Geschlecht - Total,Median
2838,2002,Tessin (TI),Andere,Niveau 4,Geschlecht - Total,Int. 25%
3934,2002,Tessin (TI),Andere,Niveau 4,Geschlecht - Total,Int. 75%
"""......""",2002,Tessin (TI),Andere,Niveau 4,Mann,Median
"""......""",2002,Tessin (TI),Andere,Niveau 4,Mann,Int. 25%
"""......""",2002,Tessin (TI),Andere,Niveau 4,Mann,Int. 75%
"""......""",2002,Tessin (TI),Andere,Niveau 4,Frau,Median
"""......""",2002,Tessin (TI),Andere,Niveau 4,Frau,Int. 25%
"""......""",2002,Tessin (TI),Andere,Niveau 4,Frau,Int. 75%
5550,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Anforderungsniveau - Total,Geschlecht - Total,Median
4430,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Anforderungsniveau - Total,Geschlecht - Total,Int. 25%
7209,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Anforderungsniveau - Total,Geschlecht - Total,Int. 75%
5957,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Anforderungsniveau - Total,Mann,Median
4853,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Anforderungsniveau - Total,Mann,Int. 25%
7833,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Anforderungsniveau - Total,Mann,Int. 75%
4784,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Anforderungsniveau - Total,Frau,Median
3879,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Anforderungsniveau - Total,Frau,Int. 25%
6152,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Anforderungsniveau - Total,Frau,Int. 75%
7378,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 1+2,Geschlecht - Total,Median
5726,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 1+2,Geschlecht - Total,Int. 25%
9792,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 1+2,Geschlecht - Total,Int. 75%
7821,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 1+2,Mann,Median
6067,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 1+2,Mann,Int. 25%
10338,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 1+2,Mann,Int. 75%
6292,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 1+2,Frau,Median
4938,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 1+2,Frau,Int. 25%
8040,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 1+2,Frau,Int. 75%
5390,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 3,Geschlecht - Total,Median
4456,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 3,Geschlecht - Total,Int. 25%
6455,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 3,Geschlecht - Total,Int. 75%
5619,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 3,Mann,Median
4777,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 3,Mann,Int. 25%
6667,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 3,Mann,Int. 75%
4922,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 3,Frau,Median
4030,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 3,Frau,Int. 25%
6036,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 3,Frau,Int. 75%
4308,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 4,Geschlecht - Total,Median
3649,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 4,Geschlecht - Total,Int. 25%
5055,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 4,Geschlecht - Total,Int. 75%
4664,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 4,Mann,Median
4000,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 4,Mann,Int. 25%
5309,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 4,Mann,Int. 75%
3921,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 4,Frau,Median
3450,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 4,Frau,Int. 25%
4581,2004,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 4,Frau,Int. 75%
5840,2004,Schweiz,SCHWEIZER/INNEN,Anforderungsniveau - Total,Geschlecht - Total,Median
4658,2004,Schweiz,SCHWEIZER/INNEN,Anforderungsniveau - Total,Geschlecht - Total,Int. 25%
7543,2004,Schweiz,SCHWEIZER/INNEN,Anforderungsniveau - Total,Geschlecht - Total,Int. 75%
6361,2004,Schweiz,SCHWEIZER/INNEN,Anforderungsniveau - Total,Mann,Median
5159,2004,Schweiz,SCHWEIZER/INNEN,Anforderungsniveau - Total,Mann,Int. 25%
8288,2004,Schweiz,SCHWEIZER/INNEN,Anforderungsniveau - Total,Mann,Int. 75%
5006,2004,Schweiz,SCHWEIZER/INNEN,Anforderungsniveau - Total,Frau,Median
4051,2004,Schweiz,SCHWEIZER/INNEN,Anforderungsniveau - Total,Frau,Int. 25%
6293,2004,Schweiz,SCHWEIZER/INNEN,Anforderungsniveau - Total,Frau,Int. 75%
7420,2004,Schweiz,SCHWEIZER/INNEN,Niveau 1+2,Geschlecht - Total,Median
5797,2004,Schweiz,SCHWEIZER/INNEN,Niveau 1+2,Geschlecht - Total,Int. 25%
9745,2004,Schweiz,SCHWEIZER/INNEN,Niveau 1+2,Geschlecht - Total,Int. 75%
7913,2004,Schweiz,SCHWEIZER/INNEN,Niveau 1+2,Mann,Median
6190,2004,Schweiz,SCHWEIZER/INNEN,Niveau 1+2,Mann,Int. 25%
10317,2004,Schweiz,SCHWEIZER/INNEN,Niveau 1+2,Mann,Int. 75%
6224,2004,Schweiz,SCHWEIZER/INNEN,Niveau 1+2,Frau,Median
4901,2004,Schweiz,SCHWEIZER/INNEN,Niveau 1+2,Frau,Int. 25%
7867,2004,Schweiz,SCHWEIZER/INNEN,Niveau 1+2,Frau,Int. 75%
5488,2004,Schweiz,SCHWEIZER/INNEN,Niveau 3,Geschlecht - Total,Median
4524,2004,Schweiz,SCHWEIZER/INNEN,Niveau 3,Geschlecht - Total,Int. 25%
6565,2004,Schweiz,SCHWEIZER/INNEN,Niveau 3,Geschlecht - Total,Int. 75%
5799,2004,Schweiz,SCHWEIZER/INNEN,Niveau 3,Mann,Median
4892,2004,Schweiz,SCHWEIZER/INNEN,Niveau 3,Mann,Int. 25%
6880,2004,Schweiz,SCHWEIZER/INNEN,Niveau 3,Mann,Int. 75%
5000,2004,Schweiz,SCHWEIZER/INNEN,Niveau 3,Frau,Median
4098,2004,Schweiz,SCHWEIZER/INNEN,Niveau 3,Frau,Int. 25%
6067,2004,Schweiz,SCHWEIZER/INNEN,Niveau 3,Frau,Int. 75%
4485,2004,Schweiz,SCHWEIZER/INNEN,Niveau 4,Geschlecht - Total,Median
3813,2004,Schweiz,SCHWEIZER/INNEN,Niveau 4,Geschlecht - Total,Int. 25%
5280,2004,Schweiz,SCHWEIZER/INNEN,Niveau 4,Geschlecht - Total,Int. 75%
4934,2004,Schweiz,SCHWEIZER/INNEN,Niveau 4,Mann,Median
4230,2004,Schweiz,SCHWEIZER/INNEN,Niveau 4,Mann,Int. 25%
5540,2004,Schweiz,SCHWEIZER/INNEN,Niveau 4,Mann,Int. 75%
4136,2004,Schweiz,SCHWEIZER/INNEN,Niveau 4,Frau,Median
3643,2004,Schweiz,SCHWEIZER/INNEN,Niveau 4,Frau,Int. 25%
4853,2004,Schweiz,SCHWEIZER/INNEN,Niveau 4,Frau,Int. 75%
4962,2004,Schweiz,AUSLÄNDER/INNEN,Anforderungsniveau - Total,Geschlecht - Total,Median
4024,2004,Schweiz,AUSLÄNDER/INNEN,Anforderungsniveau - Total,Geschlecht - Total,Int. 25%
6259,2004,Schweiz,AUSLÄNDER/INNEN,Anforderungsniveau - Total,Geschlecht - Total,Int. 75%
5229,2004,Schweiz,AUSLÄNDER/INNEN,Anforderungsniveau - Total,Mann,Median
4405,2004,Schweiz,AUSLÄNDER/INNEN,Anforderungsniveau - Total,Mann,Int. 25%
6528,2004,Schweiz,AUSLÄNDER/INNEN,Anforderungsniveau - Total,Mann,Int. 75%
4200,2004,Schweiz,AUSLÄNDER/INNEN,Anforderungsniveau - Total,Frau,Median
3526,2004,Schweiz,AUSLÄNDER/INNEN,Anforderungsniveau - Total,Frau,Int. 25%
5555,2004,Schweiz,AUSLÄNDER/INNEN,Anforderungsniveau - Total,Frau,Int. 75%
7194,2004,Schweiz,AUSLÄNDER/INNEN,Niveau 1+2,Geschlecht - Total,Median
5482,2004,Schweiz,AUSLÄNDER/INNEN,Niveau 1+2,Geschlecht - Total,Int. 25%
10024,2004,Schweiz,AUSLÄNDER/INNEN,Niveau 1+2,Geschlecht - Total,Int. 75%
7416,2004,Schweiz,AUSLÄNDER/INNEN,Niveau 1+2,Mann,Median
5613,2004,Schweiz,AUSLÄNDER/INNEN,Niveau 1+2,Mann,Int. 25%
10433,2004,Schweiz,AUSLÄNDER/INNEN,Niveau 1+2,Mann,Int. 75%
6659,2004,Schweiz,AUSLÄNDER/INNEN,Niveau 1+2,Frau,Median
5061,2004,Schweiz,AUSLÄNDER/INNEN,Niveau 1+2,Frau,Int. 25%
8829,2004,Schweiz,AUSLÄNDER/INNEN,Niveau 1+2,Frau,Int. 75%
5155,2004,Schweiz,AUSLÄNDER/INNEN,Niveau 3,Geschlecht - Total,Median
4327,2004,Schweiz,AUSLÄNDER/INNEN,Niveau 3,Geschlecht - Total,Int. 25%
6078,2004,Schweiz,AUSLÄNDER/INNEN,Niveau 3,Geschlecht - Total,Int. 75%
5285,2004,Schweiz,AUSLÄNDER/INNEN,Niveau 3,Mann,Median
4572,2004,Schweiz,AUSLÄNDER/INNEN,Niveau 3,Mann,Int. 25%
6139,2004,Schweiz,AUSLÄNDER/INNEN,Niveau 3,Mann,Int. 75%
4615,2004,Schweiz,AUSLÄNDER/INNEN,Niveau 3,Frau,Median
3816,2004,Schweiz,AUSLÄNDER/INNEN,Niveau 3,Frau,Int. 25%
5872,2004,Schweiz,AUSLÄNDER/INNEN,Niveau 3,Frau,Int. 75%
4133,2004,Schweiz,AUSLÄNDER/INNEN,Niveau 4,Geschlecht - Total,Median
3489,2004,Schweiz,AUSLÄNDER/INNEN,Niveau 4,Geschlecht - Total,Int. 25%
4837,2004,Schweiz,AUSLÄNDER/INNEN,Niveau 4,Geschlecht - Total,Int. 75%
4498,2004,Schweiz,AUSLÄNDER/INNEN,Niveau 4,Mann,Median
3842,2004,Schweiz,AUSLÄNDER/INNEN,Niveau 4,Mann,Int. 25%
5089,2004,Schweiz,AUSLÄNDER/INNEN,Niveau 4,Mann,Int. 75%
3680,2004,Schweiz,AUSLÄNDER/INNEN,Niveau 4,Frau,Median
3226,2004,Schweiz,AUSLÄNDER/INNEN,Niveau 4,Frau,Int. 25%
4225,2004,Schweiz,AUSLÄNDER/INNEN,Niveau 4,Frau,Int. 75%
3927,2004,Schweiz,KurzaufenthalterInnen (Kat. L),Anforderungsniveau - Total,Geschlecht - Total,Median
3196,2004,Schweiz,KurzaufenthalterInnen (Kat. L),Anforderungsniveau - Total,Geschlecht - Total,Int. 25%
4813,2004,Schweiz,KurzaufenthalterInnen (Kat. L),Anforderungsniveau - Total,Geschlecht - Total,Int. 75%
4227,2004,Schweiz,KurzaufenthalterInnen (Kat. L),Anforderungsniveau - Total,Mann,Median
3379,2004,Schweiz,KurzaufenthalterInnen (Kat. L),Anforderungsniveau - Total,Mann,Int. 25%
4956,2004,Schweiz,KurzaufenthalterInnen (Kat. L),Anforderungsniveau - Total,Mann,Int. 75%
3394,2004,Schweiz,KurzaufenthalterInnen (Kat. L),Anforderungsniveau - Total,Frau,Median
3003,2004,Schweiz,KurzaufenthalterInnen (Kat. L),Anforderungsniveau - Total,Frau,Int. 25%
4133,2004,Schweiz,KurzaufenthalterInnen (Kat. L),Anforderungsniveau - Total,Frau,Int. 75%
5014,2004,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 1+2,Geschlecht - Total,Median
4080,2004,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 1+2,Geschlecht - Total,Int. 25%
6781,2004,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 1+2,Geschlecht - Total,Int. 75%
5038,2004,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 1+2,Mann,Median
4207,2004,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 1+2,Mann,Int. 25%
6984,2004,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 1+2,Mann,Int. 75%
4875,2004,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 1+2,Frau,Median
3810,2004,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 1+2,Frau,Int. 25%
6399,2004,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 1+2,Frau,Int. 75%
4084,2004,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 3,Geschlecht - Total,Median
