Value,Geschlecht,Arbeitskanton,Altersklasse,Quartal
213.6,Geschlecht - Total,Solothurn,50-54 Jahre,2011Q3
229.6,Geschlecht - Total,Solothurn,50-54 Jahre,2011Q4
241.5,Geschlecht - Total,Solothurn,50-54 Jahre,2012Q1
257.6,Geschlecht - Total,Solothurn,50-54 Jahre,2012Q2
275.6,Geschlecht - Total,Solothurn,50-54 Jahre,2012Q3
275.6,Geschlecht - Total,Solothurn,50-54 Jahre,2012Q4
275.6,Geschlecht - Total,Solothurn,50-54 Jahre,2013Q1
287.6,Geschlecht - Total,Solothurn,50-54 Jahre,2013Q2
288.6,Geschlecht - Total,Solothurn,50-54 Jahre,2013Q3
301.6,Geschlecht - Total,Solothurn,50-54 Jahre,2013Q4
298.9,Geschlecht - Total,Solothurn,50-54 Jahre,2014Q1
300.1,Geschlecht - Total,Solothurn,50-54 Jahre,2014Q2
323.1,Geschlecht - Total,Solothurn,50-54 Jahre,2014Q3
337.8,Geschlecht - Total,Solothurn,50-54 Jahre,2014Q4
343.3,Geschlecht - Total,Solothurn,50-54 Jahre,2015Q1
344.5,Geschlecht - Total,Solothurn,50-54 Jahre,2015Q2
352.3,Geschlecht - Total,Solothurn,50-54 Jahre,2015Q3
359.4,Geschlecht - Total,Solothurn,50-54 Jahre,2015Q4
368.8,Geschlecht - Total,Solothurn,50-54 Jahre,2016Q1
372.8,Geschlecht - Total,Solothurn,50-54 Jahre,2016Q2
369.8,Geschlecht - Total,Solothurn,50-54 Jahre,2016Q3
42.3,Geschlecht - Total,Solothurn,55-59 Jahre,1999Q1
46.1,Geschlecht - Total,Solothurn,55-59 Jahre,1999Q2
46.9,Geschlecht - Total,Solothurn,55-59 Jahre,1999Q3
48.7,Geschlecht - Total,Solothurn,55-59 Jahre,1999Q4
47.8,Geschlecht - Total,Solothurn,55-59 Jahre,2000Q1
47.7,Geschlecht - Total,Solothurn,55-59 Jahre,2000Q2
46.8,Geschlecht - Total,Solothurn,55-59 Jahre,2000Q3
43,Geschlecht - Total,Solothurn,55-59 Jahre,2000Q4
44,Geschlecht - Total,Solothurn,55-59 Jahre,2001Q1
43,Geschlecht - Total,Solothurn,55-59 Jahre,2001Q2
42.1,Geschlecht - Total,Solothurn,55-59 Jahre,2001Q3
44.9,Geschlecht - Total,Solothurn,55-59 Jahre,2001Q4
46.9,Geschlecht - Total,Solothurn,55-59 Jahre,2002Q1
48.7,Geschlecht - Total,Solothurn,55-59 Jahre,2002Q2
52.2,Geschlecht - Total,Solothurn,55-59 Jahre,2002Q3
54,Geschlecht - Total,Solothurn,55-59 Jahre,2002Q4
54,Geschlecht - Total,Solothurn,55-59 Jahre,2003Q1
56.6,Geschlecht - Total,Solothurn,55-59 Jahre,2003Q2
62.8,Geschlecht - Total,Solothurn,55-59 Jahre,2003Q3
63.7,Geschlecht - Total,Solothurn,55-59 Jahre,2003Q4
67.2,Geschlecht - Total,Solothurn,55-59 Jahre,2004Q1
68.1,Geschlecht - Total,Solothurn,55-59 Jahre,2004Q2
71,Geschlecht - Total,Solothurn,55-59 Jahre,2004Q3
74.8,Geschlecht - Total,Solothurn,55-59 Jahre,2004Q4
78.5,Geschlecht - Total,Solothurn,55-59 Jahre,2005Q1
81.5,Geschlecht - Total,Solothurn,55-59 Jahre,2005Q2
83.1,Geschlecht - Total,Solothurn,55-59 Jahre,2005Q3
89.6,Geschlecht - Total,Solothurn,55-59 Jahre,2005Q4
94,Geschlecht - Total,Solothurn,55-59 Jahre,2006Q1
105.5,Geschlecht - Total,Solothurn,55-59 Jahre,2006Q2
109.8,Geschlecht - Total,Solothurn,55-59 Jahre,2006Q3
111.7,Geschlecht - Total,Solothurn,55-59 Jahre,2006Q4
117.1,Geschlecht - Total,Solothurn,55-59 Jahre,2007Q1
116.5,Geschlecht - Total,Solothurn,55-59 Jahre,2007Q2
118.8,Geschlecht - Total,Solothurn,55-59 Jahre,2007Q3
118.7,Geschlecht - Total,Solothurn,55-59 Jahre,2007Q4
121.4,Geschlecht - Total,Solothurn,55-59 Jahre,2008Q1
124.2,Geschlecht - Total,Solothurn,55-59 Jahre,2008Q2
120.3,Geschlecht - Total,Solothurn,55-59 Jahre,2008Q3
108.6,Geschlecht - Total,Solothurn,55-59 Jahre,2008Q4
106.5,Geschlecht - Total,Solothurn,55-59 Jahre,2009Q1
112.3,Geschlecht - Total,Solothurn,55-59 Jahre,2009Q2
107.3,Geschlecht - Total,Solothurn,55-59 Jahre,2009Q3
112.1,Geschlecht - Total,Solothurn,55-59 Jahre,2009Q4
118.6,Geschlecht - Total,Solothurn,55-59 Jahre,2010Q1
135.2,Geschlecht - Total,Solothurn,55-59 Jahre,2010Q2
134.6,Geschlecht - Total,Solothurn,55-59 Jahre,2010Q3
131,Geschlecht - Total,Solothurn,55-59 Jahre,2010Q4
135.5,Geschlecht - Total,Solothurn,55-59 Jahre,2011Q1
130.6,Geschlecht - Total,Solothurn,55-59 Jahre,2011Q2
123.6,Geschlecht - Total,Solothurn,55-59 Jahre,2011Q3
126.6,Geschlecht - Total,Solothurn,55-59 Jahre,2011Q4
122.5,Geschlecht - Total,Solothurn,55-59 Jahre,2012Q1
132.6,Geschlecht - Total,Solothurn,55-59 Jahre,2012Q2
136.6,Geschlecht - Total,Solothurn,55-59 Jahre,2012Q3
143.6,Geschlecht - Total,Solothurn,55-59 Jahre,2012Q4
153.6,Geschlecht - Total,Solothurn,55-59 Jahre,2013Q1
158.6,Geschlecht - Total,Solothurn,55-59 Jahre,2013Q2
169.6,Geschlecht - Total,Solothurn,55-59 Jahre,2013Q3
163.6,Geschlecht - Total,Solothurn,55-59 Jahre,2013Q4
177.3,Geschlecht - Total,Solothurn,55-59 Jahre,2014Q1
178.9,Geschlecht - Total,Solothurn,55-59 Jahre,2014Q2
188.4,Geschlecht - Total,Solothurn,55-59 Jahre,2014Q3
197.8,Geschlecht - Total,Solothurn,55-59 Jahre,2014Q4
202.7,Geschlecht - Total,Solothurn,55-59 Jahre,2015Q1
209.4,Geschlecht - Total,Solothurn,55-59 Jahre,2015Q2
209.9,Geschlecht - Total,Solothurn,55-59 Jahre,2015Q3
213.7,Geschlecht - Total,Solothurn,55-59 Jahre,2015Q4
212,Geschlecht - Total,Solothurn,55-59 Jahre,2016Q1
222.3,Geschlecht - Total,Solothurn,55-59 Jahre,2016Q2
234.5,Geschlecht - Total,Solothurn,55-59 Jahre,2016Q3
26.3,Geschlecht - Total,Solothurn,60 Jahre und mehr,1999Q1
23.6,Geschlecht - Total,Solothurn,60 Jahre und mehr,1999Q2
25.3,Geschlecht - Total,Solothurn,60 Jahre und mehr,1999Q3
19,Geschlecht - Total,Solothurn,60 Jahre und mehr,1999Q4
19.7,Geschlecht - Total,Solothurn,60 Jahre und mehr,2000Q1
20.8,Geschlecht - Total,Solothurn,60 Jahre und mehr,2000Q2
22.6,Geschlecht - Total,Solothurn,60 Jahre und mehr,2000Q3
25.1,Geschlecht - Total,Solothurn,60 Jahre und mehr,2000Q4
24.2,Geschlecht - Total,Solothurn,60 Jahre und mehr,2001Q1
25.3,Geschlecht - Total,Solothurn,60 Jahre und mehr,2001Q2
26,Geschlecht - Total,Solothurn,60 Jahre und mehr,2001Q3
23.2,Geschlecht - Total,Solothurn,60 Jahre und mehr,2001Q4
24.9,Geschlecht - Total,Solothurn,60 Jahre und mehr,2002Q1
25.8,Geschlecht - Total,Solothurn,60 Jahre und mehr,2002Q2
25.2,Geschlecht - Total,Solothurn,60 Jahre und mehr,2002Q3
27.8,Geschlecht - Total,Solothurn,60 Jahre und mehr,2002Q4
30.6,Geschlecht - Total,Solothurn,60 Jahre und mehr,2003Q1
30.4,Geschlecht - Total,Solothurn,60 Jahre und mehr,2003Q2
28.1,Geschlecht - Total,Solothurn,60 Jahre und mehr,2003Q3
23.6,Geschlecht - Total,Solothurn,60 Jahre und mehr,2003Q4
21.6,Geschlecht - Total,Solothurn,60 Jahre und mehr,2004Q1
24.1,Geschlecht - Total,Solothurn,60 Jahre und mehr,2004Q2
23.3,Geschlecht - Total,Solothurn,60 Jahre und mehr,2004Q3
22.6,Geschlecht - Total,Solothurn,60 Jahre und mehr,2004Q4
25.3,Geschlecht - Total,Solothurn,60 Jahre und mehr,2005Q1
26.9,Geschlecht - Total,Solothurn,60 Jahre und mehr,2005Q2
25.7,Geschlecht - Total,Solothurn,60 Jahre und mehr,2005Q3
26.4,Geschlecht - Total,Solothurn,60 Jahre und mehr,2005Q4
28,Geschlecht - Total,Solothurn,60 Jahre und mehr,2006Q1
28.2,Geschlecht - Total,Solothurn,60 Jahre und mehr,2006Q2
29.2,Geschlecht - Total,Solothurn,60 Jahre und mehr,2006Q3
32.4,Geschlecht - Total,Solothurn,60 Jahre und mehr,2006Q4
36.1,Geschlecht - Total,Solothurn,60 Jahre und mehr,2007Q1
41.2,Geschlecht - Total,Solothurn,60 Jahre und mehr,2007Q2
44.8,Geschlecht - Total,Solothurn,60 Jahre und mehr,2007Q3
46.5,Geschlecht - Total,Solothurn,60 Jahre und mehr,2007Q4
48.2,Geschlecht - Total,Solothurn,60 Jahre und mehr,2008Q1
49.4,Geschlecht - Total,Solothurn,60 Jahre und mehr,2008Q2
50.6,Geschlecht - Total,Solothurn,60 Jahre und mehr,2008Q3
37.2,Geschlecht - Total,Solothurn,60 Jahre und mehr,2008Q4
35.9,Geschlecht - Total,Solothurn,60 Jahre und mehr,2009Q1
34.8,Geschlecht - Total,Solothurn,60 Jahre und mehr,2009Q2
39.2,Geschlecht - Total,Solothurn,60 Jahre und mehr,2009Q3
37.9,Geschlecht - Total,Solothurn,60 Jahre und mehr,2009Q4
45.1,Geschlecht - Total,Solothurn,60 Jahre und mehr,2010Q1
49.8,Geschlecht - Total,Solothurn,60 Jahre und mehr,2010Q2
50,Geschlecht - Total,Solothurn,60 Jahre und mehr,2010Q3
47.3,Geschlecht - Total,Solothurn,60 Jahre und mehr,2010Q4
49.2,Geschlecht - Total,Solothurn,60 Jahre und mehr,2011Q1
65.7,Geschlecht - Total,Solothurn,60 Jahre und mehr,2011Q2
62.7,Geschlecht - Total,Solothurn,60 Jahre und mehr,2011Q3
64.9,Geschlecht - Total,Solothurn,60 Jahre und mehr,2011Q4
61.1,Geschlecht - Total,Solothurn,60 Jahre und mehr,2012Q1
64.4,Geschlecht - Total,Solothurn,60 Jahre und mehr,2012Q2
66.6,Geschlecht - Total,Solothurn,60 Jahre und mehr,2012Q3
67.2,Geschlecht - Total,Solothurn,60 Jahre und mehr,2012Q4
70.4,Geschlecht - Total,Solothurn,60 Jahre und mehr,2013Q1
74.2,Geschlecht - Total,Solothurn,60 Jahre und mehr,2013Q2
79.7,Geschlecht - Total,Solothurn,60 Jahre und mehr,2013Q3
86.4,Geschlecht - Total,Solothurn,60 Jahre und mehr,2013Q4
85.8,Geschlecht - Total,Solothurn,60 Jahre und mehr,2014Q1
88.3,Geschlecht - Total,Solothurn,60 Jahre und mehr,2014Q2
90.8,Geschlecht - Total,Solothurn,60 Jahre und mehr,2014Q3
93,Geschlecht - Total,Solothurn,60 Jahre und mehr,2014Q4
102.4,Geschlecht - Total,Solothurn,60 Jahre und mehr,2015Q1
108.2,Geschlecht - Total,Solothurn,60 Jahre und mehr,2015Q2
114.3,Geschlecht - Total,Solothurn,60 Jahre und mehr,2015Q3
117.9,Geschlecht - Total,Solothurn,60 Jahre und mehr,2015Q4
122.5,Geschlecht - Total,Solothurn,60 Jahre und mehr,2016Q1
128.4,Geschlecht - Total,Solothurn,60 Jahre und mehr,2016Q2
138.4,Geschlecht - Total,Solothurn,60 Jahre und mehr,2016Q3
26087.4,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,1999Q1
26067.1,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,1999Q2
26454,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,1999Q3
26466.2,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,1999Q4
26608.6,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2000Q1
27230,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2000Q2
27476.9,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2000Q3
27728.1,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2000Q4
28058.3,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2001Q1
28514.7,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2001Q2
28932.8,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2001Q3
28969.2,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2001Q4
29136.2,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2002Q1
29240.9,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2002Q2
29350,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2002Q3
29314.9,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2002Q4
29276.2,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2003Q1
29619,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2003Q2
29728.3,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2003Q3
29601.2,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2003Q4
29946.3,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2004Q1
30772.3,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2004Q2
29659.8,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2004Q3
29445.1,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2004Q4
29265.4,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2005Q1
28822,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2005Q2
28015.2,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2005Q3
28380.6,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2005Q4
28614.4,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2006Q1
28907.9,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2006Q2
29577.2,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2006Q3
30046.7,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2006Q4
30238.2,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2007Q1
30351.3,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2007Q2
30500,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2007Q3
30012.4,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2007Q4
29946.8,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2008Q1
30553.9,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2008Q2
29972.6,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2008Q3
29147.1,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2008Q4
29366.2,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2009Q1
29850.3,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2009Q2
29933.4,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2009Q3
30144.3,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2009Q4
30865.6,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2010Q1
31555.3,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2010Q2
31606.4,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2010Q3
31089.6,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2010Q4
30953.9,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2011Q1
31352.3,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2011Q2
31869.4,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2011Q3
31928.7,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2011Q4
31996.1,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2012Q1
32575.6,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2012Q2
32950.8,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2012Q3
32798.6,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2012Q4
32862.5,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2013Q1
33403.6,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2013Q2
33774.1,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2013Q3
33603.1,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2013Q4
33881.1,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2014Q1
34247.4,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2014Q2
34717.6,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2014Q3
35143,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2014Q4
35473.2,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2015Q1
35534.2,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2015Q2
35991.3,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2015Q3
36271.5,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2015Q4
36445.9,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2016Q1
36612.1,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2016Q2
36865.4,Geschlecht - Total,Basel-Stadt,Altersklasse - Total,2016Q3
105.3,Geschlecht - Total,Basel-Stadt,15-19 Jahre,1999Q1
179.5,Geschlecht - Total,Basel-Stadt,15-19 Jahre,1999Q2
132.1,Geschlecht - Total,Basel-Stadt,15-19 Jahre,1999Q3
128.4,Geschlecht - Total,Basel-Stadt,15-19 Jahre,1999Q4
129,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2000Q1
221.5,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2000Q2
182.5,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2000Q3
168.8,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2000Q4
156.7,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2001Q1
304.5,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2001Q2
216.8,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2001Q3
193.5,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2001Q4
190.7,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2002Q1
229.5,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2002Q2
180.1,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2002Q3
165.4,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2002Q4
138.1,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2003Q1
195.8,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2003Q2
166.1,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2003Q3
154.2,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2003Q4
138,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2004Q1
136.5,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2004Q2
117.8,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2004Q3
114.1,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2004Q4
106.2,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2005Q1
100.3,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2005Q2
96.2,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2005Q3
88.1,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2005Q4
74.2,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2006Q1
84.4,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2006Q2
109.4,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2006Q3
107.6,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2006Q4
111.5,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2007Q1
110.8,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2007Q2
143,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2007Q3
141,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2007Q4
142.5,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2008Q1
149.4,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2008Q2
200.9,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2008Q3
172.6,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2008Q4
157.8,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2009Q1
154.7,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2009Q2
166.2,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2009Q3
155.3,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2009Q4
142.6,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2010Q1
132.7,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2010Q2
147.6,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2010Q3
129.4,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2010Q4
122.8,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2011Q1
120.9,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2011Q2
148.1,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2011Q3
141.2,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2011Q4
121,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2012Q1
107.3,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2012Q2
141.2,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2012Q3
137.1,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2012Q4
126.4,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2013Q1
121,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2013Q2
151.4,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2013Q3
144.9,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2013Q4
130,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2014Q1
133,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2014Q2
178.1,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2014Q3
182.5,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2014Q4
161.8,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2015Q1
150.7,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2015Q2
178,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2015Q3
170.4,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2015Q4
153.5,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2016Q1
142.9,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2016Q2
183.7,Geschlecht - Total,Basel-Stadt,15-19 Jahre,2016Q3
848.8,Geschlecht - Total,Basel-Stadt,20-24 Jahre,1999Q1
913.5,Geschlecht - Total,Basel-Stadt,20-24 Jahre,1999Q2
924.5,Geschlecht - Total,Basel-Stadt,20-24 Jahre,1999Q3
936.1,Geschlecht - Total,Basel-Stadt,20-24 Jahre,1999Q4
989.2,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2000Q1
1129.3,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2000Q2
1182.8,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2000Q3
1230.1,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2000Q4
1310.5,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2001Q1
1406.4,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2001Q2
1489.9,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2001Q3
1464.5,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2001Q4
1514.5,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2002Q1
1541.2,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2002Q2
1530.1,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2002Q3
1501.5,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2002Q4
1518.8,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2003Q1
1548,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2003Q2
1521.6,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2003Q3
1466.5,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2003Q4
1495.9,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2004Q1
1561.7,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2004Q2
1380.4,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2004Q3
1320.5,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2004Q4
1294.5,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2005Q1
1233.1,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2005Q2
1111.9,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2005Q3
1132.6,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2005Q4
1133.5,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2006Q1
1129.9,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2006Q2
1117.7,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2006Q3
1133.5,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2006Q4
1173.7,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2007Q1
1200.6,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2007Q2
1183.9,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2007Q3
1160.4,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2007Q4
1229.5,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2008Q1
1291.7,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2008Q2
1310.6,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2008Q3
1277.4,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2008Q4
1314.1,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2009Q1
1339.3,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2009Q2
1345.1,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2009Q3
1387.7,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2009Q4
1454.1,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2010Q1
1502,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2010Q2
1479.6,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2010Q3
1398.6,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2010Q4
1366.2,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2011Q1
1404.7,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2011Q2
1456.8,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2011Q3
1441.2,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2011Q4
1501.2,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2012Q1
1524.7,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2012Q2
1544.7,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2012Q3
1507.6,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2012Q4
1547.6,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2013Q1
1608.6,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2013Q2
1609.6,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2013Q3
1547.6,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2013Q4
1637.8,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2014Q1
1632.3,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2014Q2
1652.7,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2014Q3
1675.4,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2014Q4
1668.7,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2015Q1
1646.9,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2015Q2
1639.8,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2015Q3
1645.8,Geschlecht - Total,Basel-Stadt,20-24 Jahre,2015Q4
