Wert,Szenario-Variante,Jahr,Staatsangehörigkeit,Variable
23.87,C-00-2015,2030,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
26.26,C-00-2015,2030,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
49.22,C-00-2015,2031,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
56.29,C-00-2015,2031,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
59.92,C-00-2015,2031,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
69.72,C-00-2015,2031,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
24.82,C-00-2015,2031,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
27.31,C-00-2015,2031,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
50.3,C-00-2015,2032,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
57.48,C-00-2015,2032,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
61.1,C-00-2015,2032,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
71.06,C-00-2015,2032,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
25.77,C-00-2015,2032,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
28.33,C-00-2015,2032,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
51.3,C-00-2015,2033,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
58.6,C-00-2015,2033,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
62.17,C-00-2015,2033,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
72.26,C-00-2015,2033,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
26.72,C-00-2015,2033,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
29.37,C-00-2015,2033,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
52.21,C-00-2015,2034,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
59.61,C-00-2015,2034,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
63.07,C-00-2015,2034,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
73.27,C-00-2015,2034,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
27.67,C-00-2015,2034,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
30.4,C-00-2015,2034,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
53.04,C-00-2015,2035,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
60.53,C-00-2015,2035,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
63.82,C-00-2015,2035,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
74.1,C-00-2015,2035,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
28.65,C-00-2015,2035,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
31.48,C-00-2015,2035,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
53.81,C-00-2015,2036,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
61.38,C-00-2015,2036,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
64.44,C-00-2015,2036,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
74.77,C-00-2015,2036,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
29.67,C-00-2015,2036,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
32.59,C-00-2015,2036,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
54.47,C-00-2015,2037,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
62.11,C-00-2015,2037,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
64.86,C-00-2015,2037,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
75.22,C-00-2015,2037,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
30.74,C-00-2015,2037,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
33.76,C-00-2015,2037,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
55.04,C-00-2015,2038,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
62.75,C-00-2015,2038,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
65.13,C-00-2015,2038,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
75.5,C-00-2015,2038,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
31.82,C-00-2015,2038,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
34.94,C-00-2015,2038,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
55.58,C-00-2015,2039,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
63.34,C-00-2015,2039,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
65.32,C-00-2015,2039,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
75.69,C-00-2015,2039,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
32.97,C-00-2015,2039,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
36.19,C-00-2015,2039,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
56.05,C-00-2015,2040,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
63.87,C-00-2015,2040,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
65.41,C-00-2015,2040,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
75.76,C-00-2015,2040,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
34.14,C-00-2015,2040,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
37.47,C-00-2015,2040,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
56.53,C-00-2015,2041,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
64.4,C-00-2015,2041,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
65.47,C-00-2015,2041,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
75.81,C-00-2015,2041,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
35.36,C-00-2015,2041,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
38.81,C-00-2015,2041,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
57,C-00-2015,2042,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
64.94,C-00-2015,2042,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
65.54,C-00-2015,2042,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
75.87,C-00-2015,2042,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
36.6,C-00-2015,2042,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
40.16,C-00-2015,2042,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
57.48,C-00-2015,2043,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
65.47,C-00-2015,2043,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
65.61,C-00-2015,2043,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
75.94,C-00-2015,2043,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
37.85,C-00-2015,2043,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
41.53,C-00-2015,2043,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
57.98,C-00-2015,2044,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
66.04,C-00-2015,2044,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
65.74,C-00-2015,2044,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
76.06,C-00-2015,2044,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
39.09,C-00-2015,2044,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
42.89,C-00-2015,2044,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
58.54,C-00-2015,2045,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
66.67,C-00-2015,2045,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
65.93,C-00-2015,2045,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
76.26,C-00-2015,2045,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
40.38,C-00-2015,2045,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
44.29,C-00-2015,2045,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
59.09,C-00-2015,2046,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
67.29,C-00-2015,2046,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
66.12,C-00-2015,2046,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
76.47,C-00-2015,2046,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
41.65,C-00-2015,2046,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
45.68,C-00-2015,2046,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
59.66,C-00-2015,2047,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
67.93,C-00-2015,2047,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
66.35,C-00-2015,2047,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
76.72,C-00-2015,2047,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
42.9,C-00-2015,2047,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
47.04,C-00-2015,2047,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
60.18,C-00-2015,2048,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
68.52,C-00-2015,2048,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
66.54,C-00-2015,2048,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
76.94,C-00-2015,2048,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
44.1,C-00-2015,2048,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
48.35,C-00-2015,2048,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
60.72,C-00-2015,2049,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
69.13,C-00-2015,2049,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
66.79,C-00-2015,2049,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
77.21,C-00-2015,2049,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
45.28,C-00-2015,2049,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
49.63,C-00-2015,2049,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
61.25,C-00-2015,2050,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
69.73,C-00-2015,2050,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
67.03,C-00-2015,2050,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
77.49,C-00-2015,2050,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
46.4,C-00-2015,2050,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
50.85,C-00-2015,2050,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
61.77,C-00-2015,2051,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
70.33,C-00-2015,2051,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
67.32,C-00-2015,2051,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
77.82,C-00-2015,2051,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
47.45,C-00-2015,2051,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
51.99,C-00-2015,2051,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
62.27,C-00-2015,2052,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
70.89,C-00-2015,2052,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
67.59,C-00-2015,2052,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
78.12,C-00-2015,2052,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
48.43,C-00-2015,2052,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
53.06,C-00-2015,2052,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
62.8,C-00-2015,2053,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
71.49,C-00-2015,2053,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
67.94,C-00-2015,2053,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
78.52,C-00-2015,2053,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
49.35,C-00-2015,2053,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
54.06,C-00-2015,2053,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
63.29,C-00-2015,2054,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
72.05,C-00-2015,2054,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
68.27,C-00-2015,2054,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
78.91,C-00-2015,2054,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
50.17,C-00-2015,2054,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
54.95,C-00-2015,2054,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
63.77,C-00-2015,2055,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
72.6,C-00-2015,2055,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
68.62,C-00-2015,2055,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
79.31,C-00-2015,2055,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
50.92,C-00-2015,2055,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
55.77,C-00-2015,2055,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
64.21,C-00-2015,2056,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
73.11,C-00-2015,2056,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
68.95,C-00-2015,2056,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
79.68,C-00-2015,2056,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
51.6,C-00-2015,2056,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
56.51,C-00-2015,2056,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
64.61,C-00-2015,2057,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
73.55,C-00-2015,2057,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
69.24,C-00-2015,2057,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
80.01,C-00-2015,2057,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
52.21,C-00-2015,2057,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
57.17,C-00-2015,2057,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
64.91,C-00-2015,2058,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
73.9,C-00-2015,2058,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
69.42,C-00-2015,2058,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
80.22,C-00-2015,2058,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
52.75,C-00-2015,2058,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
57.76,C-00-2015,2058,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
65.17,C-00-2015,2059,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
74.19,C-00-2015,2059,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
69.56,C-00-2015,2059,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
80.38,C-00-2015,2059,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
53.24,C-00-2015,2059,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
58.29,C-00-2015,2059,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
65.38,C-00-2015,2060,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
74.43,C-00-2015,2060,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
69.67,C-00-2015,2060,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
80.49,C-00-2015,2060,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
53.67,C-00-2015,2060,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
58.75,C-00-2015,2060,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
65.58,C-00-2015,2061,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
74.65,C-00-2015,2061,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
69.78,C-00-2015,2061,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
80.61,C-00-2015,2061,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
54.04,C-00-2015,2061,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
59.14,C-00-2015,2061,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
65.71,C-00-2015,2062,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
74.8,C-00-2015,2062,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
69.82,C-00-2015,2062,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
80.65,C-00-2015,2062,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
54.36,C-00-2015,2062,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
59.49,C-00-2015,2062,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
65.81,C-00-2015,2063,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
74.91,C-00-2015,2063,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
