Wert,Jahr,Grossregion,Nettolohnhöhenklasse,Beschäftigungsgrad,Geschlecht
0.3,2004,"Genferseeregion (VD, VS, GE)",15001-16000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
0.4,2004,"Genferseeregion (VD, VS, GE)",15001-16000 Franken,Beschäftigungsgrad - Total,Mann
0,2004,"Genferseeregion (VD, VS, GE)",15001-16000 Franken,Beschäftigungsgrad - Total,Frau
0.4,2004,"Genferseeregion (VD, VS, GE)",15001-16000 Franken,Vollzeit (>=90%),Geschlecht - Total
0.5,2004,"Genferseeregion (VD, VS, GE)",15001-16000 Franken,Vollzeit (>=90%),Mann
0.1,2004,"Genferseeregion (VD, VS, GE)",15001-16000 Franken,Vollzeit (>=90%),Frau
"""......""",2004,"Genferseeregion (VD, VS, GE)",15001-16000 Franken,Teilzeit (<90%),Geschlecht - Total
"""......""",2004,"Genferseeregion (VD, VS, GE)",15001-16000 Franken,Teilzeit (<90%),Mann
"""......""",2004,"Genferseeregion (VD, VS, GE)",15001-16000 Franken,Teilzeit (<90%),Frau
0.2,2004,"Genferseeregion (VD, VS, GE)",16001-17000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
0.4,2004,"Genferseeregion (VD, VS, GE)",16001-17000 Franken,Beschäftigungsgrad - Total,Mann
0,2004,"Genferseeregion (VD, VS, GE)",16001-17000 Franken,Beschäftigungsgrad - Total,Frau
0.3,2004,"Genferseeregion (VD, VS, GE)",16001-17000 Franken,Vollzeit (>=90%),Geschlecht - Total
0.4,2004,"Genferseeregion (VD, VS, GE)",16001-17000 Franken,Vollzeit (>=90%),Mann
0.1,2004,"Genferseeregion (VD, VS, GE)",16001-17000 Franken,Vollzeit (>=90%),Frau
"""......""",2004,"Genferseeregion (VD, VS, GE)",16001-17000 Franken,Teilzeit (<90%),Geschlecht - Total
"""......""",2004,"Genferseeregion (VD, VS, GE)",16001-17000 Franken,Teilzeit (<90%),Mann
"""......""",2004,"Genferseeregion (VD, VS, GE)",16001-17000 Franken,Teilzeit (<90%),Frau
0.2,2004,"Genferseeregion (VD, VS, GE)",17001-18000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
0.3,2004,"Genferseeregion (VD, VS, GE)",17001-18000 Franken,Beschäftigungsgrad - Total,Mann
0,2004,"Genferseeregion (VD, VS, GE)",17001-18000 Franken,Beschäftigungsgrad - Total,Frau
0.3,2004,"Genferseeregion (VD, VS, GE)",17001-18000 Franken,Vollzeit (>=90%),Geschlecht - Total
0.4,2004,"Genferseeregion (VD, VS, GE)",17001-18000 Franken,Vollzeit (>=90%),Mann
"""......""",2004,"Genferseeregion (VD, VS, GE)",17001-18000 Franken,Vollzeit (>=90%),Frau
"""......""",2004,"Genferseeregion (VD, VS, GE)",17001-18000 Franken,Teilzeit (<90%),Geschlecht - Total
"""......""",2004,"Genferseeregion (VD, VS, GE)",17001-18000 Franken,Teilzeit (<90%),Mann
"""......""",2004,"Genferseeregion (VD, VS, GE)",17001-18000 Franken,Teilzeit (<90%),Frau
0.1,2004,"Genferseeregion (VD, VS, GE)",18001-19000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
0.2,2004,"Genferseeregion (VD, VS, GE)",18001-19000 Franken,Beschäftigungsgrad - Total,Mann
"""......""",2004,"Genferseeregion (VD, VS, GE)",18001-19000 Franken,Beschäftigungsgrad - Total,Frau
0.2,2004,"Genferseeregion (VD, VS, GE)",18001-19000 Franken,Vollzeit (>=90%),Geschlecht - Total
0.3,2004,"Genferseeregion (VD, VS, GE)",18001-19000 Franken,Vollzeit (>=90%),Mann
"""......""",2004,"Genferseeregion (VD, VS, GE)",18001-19000 Franken,Vollzeit (>=90%),Frau
"""......""",2004,"Genferseeregion (VD, VS, GE)",18001-19000 Franken,Teilzeit (<90%),Geschlecht - Total
"""......""",2004,"Genferseeregion (VD, VS, GE)",18001-19000 Franken,Teilzeit (<90%),Mann
"""......""",2004,"Genferseeregion (VD, VS, GE)",18001-19000 Franken,Teilzeit (<90%),Frau
0.1,2004,"Genferseeregion (VD, VS, GE)",19001-20000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
0.2,2004,"Genferseeregion (VD, VS, GE)",19001-20000 Franken,Beschäftigungsgrad - Total,Mann
"""......""",2004,"Genferseeregion (VD, VS, GE)",19001-20000 Franken,Beschäftigungsgrad - Total,Frau
0.2,2004,"Genferseeregion (VD, VS, GE)",19001-20000 Franken,Vollzeit (>=90%),Geschlecht - Total
0.2,2004,"Genferseeregion (VD, VS, GE)",19001-20000 Franken,Vollzeit (>=90%),Mann
"""......""",2004,"Genferseeregion (VD, VS, GE)",19001-20000 Franken,Vollzeit (>=90%),Frau
"""......""",2004,"Genferseeregion (VD, VS, GE)",19001-20000 Franken,Teilzeit (<90%),Geschlecht - Total
"""......""",2004,"Genferseeregion (VD, VS, GE)",19001-20000 Franken,Teilzeit (<90%),Mann
"""......""",2004,"Genferseeregion (VD, VS, GE)",19001-20000 Franken,Teilzeit (<90%),Frau
1,2004,"Genferseeregion (VD, VS, GE)",20001+ Franken,Beschäftigungsgrad - Total,Geschlecht - Total
1.6,2004,"Genferseeregion (VD, VS, GE)",20001+ Franken,Beschäftigungsgrad - Total,Mann
0.2,2004,"Genferseeregion (VD, VS, GE)",20001+ Franken,Beschäftigungsgrad - Total,Frau
1.3,2004,"Genferseeregion (VD, VS, GE)",20001+ Franken,Vollzeit (>=90%),Geschlecht - Total
1.8,2004,"Genferseeregion (VD, VS, GE)",20001+ Franken,Vollzeit (>=90%),Mann
0.4,2004,"Genferseeregion (VD, VS, GE)",20001+ Franken,Vollzeit (>=90%),Frau
"""......""",2004,"Genferseeregion (VD, VS, GE)",20001+ Franken,Teilzeit (<90%),Geschlecht - Total
"""......""",2004,"Genferseeregion (VD, VS, GE)",20001+ Franken,Teilzeit (<90%),Mann
"""......""",2004,"Genferseeregion (VD, VS, GE)",20001+ Franken,Teilzeit (<90%),Frau
7.3,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",0-  1000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
2.8,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",0-  1000 Franken,Beschäftigungsgrad - Total,Mann
13.2,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",0-  1000 Franken,Beschäftigungsgrad - Total,Frau
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",0-  1000 Franken,Vollzeit (>=90%),Geschlecht - Total
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",0-  1000 Franken,Vollzeit (>=90%),Mann
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",0-  1000 Franken,Vollzeit (>=90%),Frau
22.5,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",0-  1000 Franken,Teilzeit (<90%),Geschlecht - Total
23.3,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",0-  1000 Franken,Teilzeit (<90%),Mann
22.3,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",0-  1000 Franken,Teilzeit (<90%),Frau
7.7,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",1001-  2000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
2.2,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",1001-  2000 Franken,Beschäftigungsgrad - Total,Mann
15.2,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",1001-  2000 Franken,Beschäftigungsgrad - Total,Frau
0.1,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",1001-  2000 Franken,Vollzeit (>=90%),Geschlecht - Total
0,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",1001-  2000 Franken,Vollzeit (>=90%),Mann
0.3,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",1001-  2000 Franken,Vollzeit (>=90%),Frau
23.8,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",1001-  2000 Franken,Teilzeit (<90%),Geschlecht - Total
17.9,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",1001-  2000 Franken,Teilzeit (<90%),Mann
25.4,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",1001-  2000 Franken,Teilzeit (<90%),Frau
9.5,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",2001-  3000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
3.3,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",2001-  3000 Franken,Beschäftigungsgrad - Total,Mann
17.8,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",2001-  3000 Franken,Beschäftigungsgrad - Total,Frau
2.8,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",2001-  3000 Franken,Vollzeit (>=90%),Geschlecht - Total
1.2,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",2001-  3000 Franken,Vollzeit (>=90%),Mann
7.2,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",2001-  3000 Franken,Vollzeit (>=90%),Frau
23.5,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",2001-  3000 Franken,Teilzeit (<90%),Geschlecht - Total
17.9,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",2001-  3000 Franken,Teilzeit (<90%),Mann
25.1,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",2001-  3000 Franken,Teilzeit (<90%),Frau
17.6,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",3001-  4000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
12.5,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",3001-  4000 Franken,Beschäftigungsgrad - Total,Mann
24.4,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",3001-  4000 Franken,Beschäftigungsgrad - Total,Frau
18.9,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",3001-  4000 Franken,Vollzeit (>=90%),Geschlecht - Total
12,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",3001-  4000 Franken,Vollzeit (>=90%),Mann
38.7,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",3001-  4000 Franken,Vollzeit (>=90%),Frau
14.9,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",3001-  4000 Franken,Teilzeit (<90%),Geschlecht - Total
16,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",3001-  4000 Franken,Teilzeit (<90%),Mann
14.6,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",3001-  4000 Franken,Teilzeit (<90%),Frau
22.5,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",4001-  5000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
27.8,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",4001-  5000 Franken,Beschäftigungsgrad - Total,Mann
15.2,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",4001-  5000 Franken,Beschäftigungsgrad - Total,Frau
29.2,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",4001-  5000 Franken,Vollzeit (>=90%),Geschlecht - Total
30.3,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",4001-  5000 Franken,Vollzeit (>=90%),Mann
26.2,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",4001-  5000 Franken,Vollzeit (>=90%),Frau
8.3,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",4001-  5000 Franken,Teilzeit (<90%),Geschlecht - Total
10.2,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",4001-  5000 Franken,Teilzeit (<90%),Mann
7.7,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",4001-  5000 Franken,Teilzeit (<90%),Frau
14.5,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",5001-  6000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
19.8,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",5001-  6000 Franken,Beschäftigungsgrad - Total,Mann
7.4,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",5001-  6000 Franken,Beschäftigungsgrad - Total,Frau
19.7,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",5001-  6000 Franken,Vollzeit (>=90%),Geschlecht - Total
21.7,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",5001-  6000 Franken,Vollzeit (>=90%),Mann
14.1,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",5001-  6000 Franken,Vollzeit (>=90%),Frau
3.6,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",5001-  6000 Franken,Teilzeit (<90%),Geschlecht - Total
6.3,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",5001-  6000 Franken,Teilzeit (<90%),Mann
2.9,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",5001-  6000 Franken,Teilzeit (<90%),Frau
8,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",6001-  7000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
11.5,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",6001-  7000 Franken,Beschäftigungsgrad - Total,Mann
3.2,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",6001-  7000 Franken,Beschäftigungsgrad - Total,Frau
11,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",6001-  7000 Franken,Vollzeit (>=90%),Geschlecht - Total
12.6,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",6001-  7000 Franken,Vollzeit (>=90%),Mann
6.5,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",6001-  7000 Franken,Vollzeit (>=90%),Frau
1.6,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",6001-  7000 Franken,Teilzeit (<90%),Geschlecht - Total
3.7,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",6001-  7000 Franken,Teilzeit (<90%),Mann
1,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",6001-  7000 Franken,Teilzeit (<90%),Frau
4.6,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",7001-  8000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
6.9,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",7001-  8000 Franken,Beschäftigungsgrad - Total,Mann
1.4,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",7001-  8000 Franken,Beschäftigungsgrad - Total,Frau
6.4,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",7001-  8000 Franken,Vollzeit (>=90%),Geschlecht - Total
7.6,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",7001-  8000 Franken,Vollzeit (>=90%),Mann
3,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",7001-  8000 Franken,Vollzeit (>=90%),Frau
0.7,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",7001-  8000 Franken,Teilzeit (<90%),Geschlecht - Total
2.2,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",7001-  8000 Franken,Teilzeit (<90%),Mann
0.3,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",7001-  8000 Franken,Teilzeit (<90%),Frau
2.8,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",8001-  9000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
4.4,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",8001-  9000 Franken,Beschäftigungsgrad - Total,Mann
0.7,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",8001-  9000 Franken,Beschäftigungsgrad - Total,Frau
4,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",8001-  9000 Franken,Vollzeit (>=90%),Geschlecht - Total
4.9,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",8001-  9000 Franken,Vollzeit (>=90%),Mann
1.5,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",8001-  9000 Franken,Vollzeit (>=90%),Frau
0.3,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",8001-  9000 Franken,Teilzeit (<90%),Geschlecht - Total
0.9,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",8001-  9000 Franken,Teilzeit (<90%),Mann
0.1,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",8001-  9000 Franken,Teilzeit (<90%),Frau
1.8,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",9001-10000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
2.9,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",9001-10000 Franken,Beschäftigungsgrad - Total,Mann
0.3,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",9001-10000 Franken,Beschäftigungsgrad - Total,Frau
2.7,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",9001-10000 Franken,Vollzeit (>=90%),Geschlecht - Total
3.3,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",9001-10000 Franken,Vollzeit (>=90%),Mann
0.8,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",9001-10000 Franken,Vollzeit (>=90%),Frau
0.1,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",9001-10000 Franken,Teilzeit (<90%),Geschlecht - Total
0.4,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",9001-10000 Franken,Teilzeit (<90%),Mann
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",9001-10000 Franken,Teilzeit (<90%),Frau
1.1,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",10001-11000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
1.8,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",10001-11000 Franken,Beschäftigungsgrad - Total,Mann
0.2,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",10001-11000 Franken,Beschäftigungsgrad - Total,Frau
1.6,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",10001-11000 Franken,Vollzeit (>=90%),Geschlecht - Total
2,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",10001-11000 Franken,Vollzeit (>=90%),Mann
0.5,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",10001-11000 Franken,Vollzeit (>=90%),Frau
0,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",10001-11000 Franken,Teilzeit (<90%),Geschlecht - Total
0.3,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",10001-11000 Franken,Teilzeit (<90%),Mann
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",10001-11000 Franken,Teilzeit (<90%),Frau
0.7,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",11001-12000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
1.1,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",11001-12000 Franken,Beschäftigungsgrad - Total,Mann
0,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",11001-12000 Franken,Beschäftigungsgrad - Total,Frau
1,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",11001-12000 Franken,Vollzeit (>=90%),Geschlecht - Total
1.2,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",11001-12000 Franken,Vollzeit (>=90%),Mann
0.2,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",11001-12000 Franken,Vollzeit (>=90%),Frau
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",11001-12000 Franken,Teilzeit (<90%),Geschlecht - Total
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",11001-12000 Franken,Teilzeit (<90%),Mann
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",11001-12000 Franken,Teilzeit (<90%),Frau
0.4,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",12001-13000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
0.7,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",12001-13000 Franken,Beschäftigungsgrad - Total,Mann
0,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",12001-13000 Franken,Beschäftigungsgrad - Total,Frau
0.6,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",12001-13000 Franken,Vollzeit (>=90%),Geschlecht - Total
0.7,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",12001-13000 Franken,Vollzeit (>=90%),Mann
0.1,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",12001-13000 Franken,Vollzeit (>=90%),Frau
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",12001-13000 Franken,Teilzeit (<90%),Geschlecht - Total
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",12001-13000 Franken,Teilzeit (<90%),Mann
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",12001-13000 Franken,Teilzeit (<90%),Frau
0.2,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",13001-14000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
0.4,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",13001-14000 Franken,Beschäftigungsgrad - Total,Mann
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",13001-14000 Franken,Beschäftigungsgrad - Total,Frau
0.3,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",13001-14000 Franken,Vollzeit (>=90%),Geschlecht - Total
0.4,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",13001-14000 Franken,Vollzeit (>=90%),Mann
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",13001-14000 Franken,Vollzeit (>=90%),Frau
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",13001-14000 Franken,Teilzeit (<90%),Geschlecht - Total
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",13001-14000 Franken,Teilzeit (<90%),Mann
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",13001-14000 Franken,Teilzeit (<90%),Frau
0.1,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",14001-15000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
0.2,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",14001-15000 Franken,Beschäftigungsgrad - Total,Mann
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",14001-15000 Franken,Beschäftigungsgrad - Total,Frau
0.2,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",14001-15000 Franken,Vollzeit (>=90%),Geschlecht - Total
0.3,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",14001-15000 Franken,Vollzeit (>=90%),Mann
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",14001-15000 Franken,Vollzeit (>=90%),Frau
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",14001-15000 Franken,Teilzeit (<90%),Geschlecht - Total
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",14001-15000 Franken,Teilzeit (<90%),Mann
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",14001-15000 Franken,Teilzeit (<90%),Frau
0.1,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",15001-16000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
0.2,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",15001-16000 Franken,Beschäftigungsgrad - Total,Mann
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",15001-16000 Franken,Beschäftigungsgrad - Total,Frau
0.1,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",15001-16000 Franken,Vollzeit (>=90%),Geschlecht - Total
0.2,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",15001-16000 Franken,Vollzeit (>=90%),Mann
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",15001-16000 Franken,Vollzeit (>=90%),Frau
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",15001-16000 Franken,Teilzeit (<90%),Geschlecht - Total
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",15001-16000 Franken,Teilzeit (<90%),Mann
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",15001-16000 Franken,Teilzeit (<90%),Frau
0,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",16001-17000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
0.1,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",16001-17000 Franken,Beschäftigungsgrad - Total,Mann
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",16001-17000 Franken,Beschäftigungsgrad - Total,Frau
0.1,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",16001-17000 Franken,Vollzeit (>=90%),Geschlecht - Total
0.1,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",16001-17000 Franken,Vollzeit (>=90%),Mann
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",16001-17000 Franken,Vollzeit (>=90%),Frau
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",16001-17000 Franken,Teilzeit (<90%),Geschlecht - Total
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",16001-17000 Franken,Teilzeit (<90%),Mann
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",16001-17000 Franken,Teilzeit (<90%),Frau
0,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",17001-18000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
0.1,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",17001-18000 Franken,Beschäftigungsgrad - Total,Mann
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",17001-18000 Franken,Beschäftigungsgrad - Total,Frau
0,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",17001-18000 Franken,Vollzeit (>=90%),Geschlecht - Total
0.1,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",17001-18000 Franken,Vollzeit (>=90%),Mann
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",17001-18000 Franken,Vollzeit (>=90%),Frau
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",17001-18000 Franken,Teilzeit (<90%),Geschlecht - Total
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",17001-18000 Franken,Teilzeit (<90%),Mann
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",17001-18000 Franken,Teilzeit (<90%),Frau
0,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",18001-19000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
0.1,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",18001-19000 Franken,Beschäftigungsgrad - Total,Mann
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",18001-19000 Franken,Beschäftigungsgrad - Total,Frau
0,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",18001-19000 Franken,Vollzeit (>=90%),Geschlecht - Total
0.1,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",18001-19000 Franken,Vollzeit (>=90%),Mann
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",18001-19000 Franken,Vollzeit (>=90%),Frau
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",18001-19000 Franken,Teilzeit (<90%),Geschlecht - Total
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",18001-19000 Franken,Teilzeit (<90%),Mann
"""....""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",18001-19000 Franken,Teilzeit (<90%),Frau
0,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",19001-20000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
0,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",19001-20000 Franken,Beschäftigungsgrad - Total,Mann
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",19001-20000 Franken,Beschäftigungsgrad - Total,Frau
0,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",19001-20000 Franken,Vollzeit (>=90%),Geschlecht - Total
0,2004,"Espace Mittelland (BE, FR, SO, NE, JU)",19001-20000 Franken,Vollzeit (>=90%),Mann
"""......""",2004,"Espace Mittelland (BE, FR, SO, NE, JU)",19001-20000 Franken,Vollzeit (>=90%),Frau
